dcid,year,climateFinanceProvidedCommitmentsCrossCuttingOdaLoansCurrentUSD
Earth,2013,339766200.0
Earth,2014,1225766084.2
Earth,2015,719606573.2
Earth,2016,815631310.6
Earth,2017,1524058332.4
Earth,2018,880456932.8
Earth,2019,783187027.555969
Earth,2020,1181956495.2
Earth,2021,608968192.4
country/AUT,2020,11396011.200000001
country/BEL,2016,5307973.2
country/CAN,2016,113173382.0
country/CAN,2017,240351283.0
country/CAN,2018,365326748.0
country/CAN,2019,113036920.0
country/CAN,2021,55763860.0
country/FRA,2013,106213488.0
country/FRA,2014,514084120.0
country/FRA,2015,450804216.0
country/FRA,2016,349820857.0
country/FRA,2017,803941941.0
country/FRA,2018,140506766.8
country/FRA,2019,483564311.6
country/FRA,2020,498089384.40000004
country/DEU,2013,7966011.600000001
country/DEU,2014,229519523.60000002
country/DEU,2015,133745148.00000001
country/DEU,2016,128509874.80000001
country/DEU,2017,259223733.60000002
country/DEU,2018,270423888.8
country/DEU,2019,86348150.4
country/DEU,2020,268034188.0
country/DEU,2021,248371938.8
country/ITA,2013,1593202.4000000001
country/ITA,2015,11092623.2
country/ITA,2016,6634966.400000001
country/ITA,2017,46521388.800000004
country/ITA,2018,14162634.4
country/ITA,2019,13433337.200000001
country/ITA,2020,112592592.4
country/ITA,2021,118259224.0
country/JPN,2013,153702698.0
country/JPN,2014,137518600.6
country/JPN,2015,123964586.0
country/JPN,2016,152007257.2
country/JPN,2017,89139986.0
country/JPN,2018,84836894.80000001
country/JPN,2020,291844319.2
country/JPN,2021,63581459.6
country/KOR,2013,20000000.0
country/KOR,2014,10000000.0
country/KOR,2016,13352000.000000002
country/KOR,2021,100000000.0
country/ESP,2019,7971833.600000001
country/ARE,2018,5200000.0
country/ARE,2019,14000000.0
