dcid,year,climateFinanceProvidedCommitmentsMitigationEquityInvestmentCurrentUSD
Earth,2013,72531208.5023734
Earth,2014,122799484.2388438
Earth,2015,32025661.00005107
Earth,2016,88935033.65126242
Earth,2017,187469804.33259365
Earth,2018,223074530.197367
Earth,2019,465164141.47936505
Earth,2020,376011617.65044194
Earth,2021,388019601.2
country/AUT,2014,4371263.0
country/AUT,2015,14198558.0
country/AUT,2016,4644476.0
country/AUT,2017,10135836.0
country/AUT,2018,1500000.0
country/AUT,2021,10052034.0
country/DNK,2016,5227290.0
country/DNK,2017,21153655.0
country/FIN,2013,7503343.0
country/FIN,2014,39833090.0
country/FIN,2015,519578.4
country/FIN,2016,2186010.4000000004
country/FIN,2017,835306.0
country/FIN,2018,6884454.800000001
country/FIN,2019,12054181.0
country/FIN,2020,49740923.6
country/FIN,2021,57039381.0
country/FRA,2018,97589722.8
country/FRA,2019,52080953.4
country/FRA,2020,44083823.8
country/FRA,2021,112416229.0
country/DEU,2013,45007965.4
country/DEU,2014,44845429.8
country/DEU,2016,44630962.8
country/DEU,2017,94690564.0
country/DEU,2018,26436917.200000003
country/DEU,2019,209792901.6
country/DEU,2020,96762618.8
country/DEU,2021,56764428.0
country/JPN,2014,10303503.0
country/JPN,2016,1102914.0
country/JPN,2019,30455065.0
country/JPN,2021,29548160.0
country/ESP,2013,12847080.0
country/ESP,2015,12226644.0
country/CHE,2013,5925281.0
country/CHE,2014,9858940.0
country/CHE,2016,8253781.600000001
country/CHE,2017,15233066.0
country/CHE,2021,4157549.2
country/GBR,2015,3882231.0
country/GBR,2017,5999704.0
country/GBR,2018,2269537.0
country/GBR,2019,60964197.0
country/GBR,2020,69913244.6
country/GBR,2021,88477014.0
