dcid,year,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentCurrentUSD
Earth,2013,2459922.0
Earth,2014,10746866.8
Earth,2015,18424681.2
Earth,2016,17556946.0
Earth,2017,32061959.6
Earth,2018,25287120.4
Earth,2019,14002828.4
Earth,2020,61540488.6
Earth,2021,22581416.0
country/FIN,2013,2459922.0
country/FIN,2014,1193994.4
country/FIN,2015,2605491.2
country/FIN,2016,2648136.0
country/FIN,2017,2325858.4000000004
country/FIN,2018,502510.0
country/FIN,2019,5572122.8
country/FIN,2020,48035.200000000004
country/FIN,2021,770591.6000000001
country/FRA,2020,20284900.0
country/DEU,2014,9552872.4
country/DEU,2015,13311148.0
country/DEU,2017,21418104.0
country/DEU,2018,14162634.4
country/DEU,2019,8041026.800000001
country/DEU,2020,41109364.400000006
country/DEU,2021,20581200.8
country/JPN,2015,2508042.0
country/JPN,2016,7874232.0
country/JPN,2017,8200388.0
country/JPN,2019,373854.0
country/JPN,2020,98189.0
country/JPN,2021,1229623.6
country/ESP,2016,399612.0
country/ESP,2017,117609.20000000001
country/ESP,2019,15824.800000000001
