dcid,year,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDAfrica,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDAlbania,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDAmerica,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDAntiguaandBarbuda,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDArmenia,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDAsia,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDBenin,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDBrazil,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDCambodia,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDCaribbean&CentralAmerica,regional","climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDCaribbean,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDColombia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDCuba,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDCôted'Ivoire,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDDemocraticRepublicoftheCongo,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDDominicanRepublic,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDEcuador,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDEgypt,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDEthiopia,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDEurope,regional","climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDFarEastAsia,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDGeorgia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDGhana,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDGrenada,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDHonduras,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDIndia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDIndonesia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDIraq,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDJordan,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDKenya,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMadagascar,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMali,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMauritius,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMexico,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMorocco,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMozambique,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDMyanmar,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNamibia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNepal,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNicaragua,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNiger,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNigeria,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDNorthMacedonia,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDOceania,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDPakistan,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDParaguay,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDPeru,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDRwanda,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSaintVincentandtheGrenadines,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSenegal,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSerbia,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSouth&CentralAsia,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSouthAmerica,regional","climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSouthAsia,regional",climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDSriLanka,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDTunisia,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDTürkiye,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDUganda,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDVietNam,climateFinanceProvidedDisbursementsCrossCuttingOdaLoansByRecipientCurrentUSDZambia
Earth,2013,,3035266.4000000004,,,,,,,3996454.0,398771.0,,,2043308.8,,,,278264.0,,,2319395.0,,,,,246688.0,1103234.0,,14131253.600000001,96495886.0,,,25117292.0,,,,1781282.0,27084440.0,9204805.09,,,,,1326689.0,,17395442.8,,,,1103046.0,,113575.0,608972.8,1527467.2000000002,,,,,,26570288.0,385199.60000000003,,180835338.8,141086.03
Earth,2014,29189332.8,8833623.2,,,,,967097.0,,,,,,2420709.6,,,,,,,,5061088.18,,,,,,,3138014.8000000003,29418361.0,,,,408495.80000000005,,,53071514.0,,,,,,,,,4583030.4,,1879198.0,,256018.80000000002,17255210.2,,,2900614.0,,,,,,27304.4,200325832.2,,155547761.4,
Earth,2015,,11698399.200000001,,,,,,,,483774.0,,,1573723.6,338337494.4,,,,,,,11394044.56,,,,,,197371.2,3836454.0,133717458.0,,,,314632.0,,,1575218.4000000001,,13495270.0,,,,,,,2624.4,,10077977.899999999,,97171.20000000001,25678343.3,,941440.8,4437049.2,,,,,,43362.8,1845948.4000000001,,159655286.4,
Earth,2016,13876258.0,6674184.4,,,419165.20000000007,,557491.0,,,291240.0,,,12750225.200000001,201260644.0,,,,,,,3861124.4,,,,,,3524130.0,2916124.4000000004,99291562.0,,,,725249.2000000001,433172.55,,769817.2000000001,30686738.400000002,,,,,,,10490988.0,,,78244.73999999999,,10398098.0,14033198.5,,16090.400000000001,4423310.8,,25993586.0,,,,75517.2,2955036.8000000003,,95059691.57000001,
Earth,2017,,2507802.0,,,,108678070.0,,,760000.0,298956.0,,,25169708.0,33818058.800000004,,,,,17609614.0,,,,,,,,8830184.4,12016384.8,60004870.0,44717758.800000004,118778694.2,,,,,56056988.6,28466508.8,,,,,765161.2000000001,,,,5719900.0,,,790157.2000000001,,,2364991.6,,,,,,,333594.4,2374506.4,,90005252.0,
Earth,2018,47927596.0,4382971.2,31053160.0,1808876.0,,44788212.0,,,,5465760.0,,13735052.0,15748246.400000002,237647032.00000003,,,,,,1070516.0,5325930.8,14929404.0,,,,,4324973.442,2943943.6000000006,705625.0,,37862063.2,,439041.60000000003,86258.84999999999,,,,1449886.0,,,250722.72,162691.2,,,,,290544.81,,,,,6108816.4,,,,,,1219655.2,463296.4,1706632.0000000002,,3737695.6100000003,
Earth,2019,45951742.0,2014694.8000000003,32470788.0,2021236.0,17911116.0,39631839.0,,22388895.200000003,,5326584.0,16254530.0,13673700.0,23997847.400000002,,447778.0,,,,,,2756763.84,8289375.0,,,,,,14655411.200000001,,,36955654.400000006,,,406207.6000000001,,7196684.0,50079928.400000006,,,3358334.4000000004,33186.44,3831744.4000000004,,,,777040.0,1853581.5,768863.2000000001,15672226.4,,,1694316.0,6873390.800000001,,35822231.6,35983420.0,,5900273.0,5253441.600000001,84835326.2,1538796.8,3806927.2199999997,
Earth,2020,84787815.2,2374173.2,45584046.0,,58235.600000000006,21871125.0,,,,14612142.0,27110051.0,9349837.0,12647698.2,132236135.60000001,1848037.2000000002,765944.0,,,,,5603963.44,,19012820.0,242384.80000000002,,,1011885.7414,5793954.0,,,69400293.2,,,11667922.400000002,136752136.8,4920968.0,16793618.200000003,3295814.0,3418803.6,3418803.6,,1585949.6,,,,1151110.0,2656145.25,16639998.8,32005520.0,,,6774142.4,6930754.0,8947210.0,,35788844.0,11396011.0,5467536.0,9355551.200000001,86372487.0,,2653002.56,
Earth,2021,66185492.2,52931359.6,118259224.0,,28145.600000000002,20357496.0,,17628476.8,,,8177343.0,,15193380.8,100943309.6,502741.60000000003,5226182.8,,3834145.0,,,1915693.44,,,729493.6000000001,,,5335045.88,9021244.0,21286660.400000002,,1225755.2,,,,,,6780627.4,,,,,2094956.0,,3805655.6,,,3257318.8600000003,1731000.0,1092359.0,,,1625016.0000000002,12199721.600000001,,,6349471.0,,8517886.0,5079210.0,702572.4000000001,15390.800000000001,2328967.52,
country/ARE,2018,,,,1808876.0,,,,,,,,,,,,,,,,1070516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ARE,2019,,,,2021236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406207.6000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,1538796.8,,
country/AUT,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279202.4,,,,,,,,,,
country/AUT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7095553.600000001,,,,,,,,,,
country/BEL,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2898225.2,
country/BEL,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256106.80000000002,
country/CAN,2017,,,,,,108678070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719900.0,,,,,,,,,,,,,,,,,
country/CAN,2018,44788212.0,,31053160.0,,,44788212.0,,,,,,13735052.0,,,,,,,,,,14929404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CAN,2019,24868124.0,,24868124.0,,,39631839.0,,,,,15113038.0,13673700.0,,,,,,,,,,8289375.0,,,,,,,,,,,,,,7196684.0,,,,,,,,,,777040.0,,,,,,,,,,35983420.0,,,,,,,
country/CAN,2020,55920080.0,,,,,21871125.0,,,,,27110051.0,9349837.0,,,,,,,,,,,19012820.0,,,,,,,,,,,,,4920968.0,,,,,,,,,,1151110.0,,,,,,,,8947210.0,,35788844.0,,,,,,,
country/CAN,2021,22037623.0,,,,,20357496.0,,15556.0,,,6349471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6349471.0,,,,,,,
