dcid,year,"climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDAfrica,regional",climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDArgentina,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDArmenia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDBelize,"climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDBolivia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDBrazil,"climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDCaribbean&CentralAmerica,regional",climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDColombia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDEcuador,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDEgypt,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDGeorgia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDIndia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDJordan,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDKazakhstan,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDKyrgyzstan,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDLebanon,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDMauritius,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDMexico,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDMoldova,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDMorocco,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDMozambique,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDNicaragua,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDPanama,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDParaguay,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDRwanda,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDSerbia,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDSierraLeone,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDSuriname,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDTajikistan,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDTanzania,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDTürkiye,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDUganda,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDUkraine,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsByRecipientCurrentUSDUruguay
Earth,2013,,,,,,,,,2208108.48,,,,,,,,,,,,,66515930.0,,,,,,,,,,,,,,
Earth,2014,,,,,,,4511923.59,,27139424.32,,145500.0,,,,,,,,,,,,,,,,,,,,,,,,,
Earth,2015,,,,,,,769557.0,,33404022.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth,2016,5493913.0,,,,,,660491.24,,24999091.82,,341314.87,,,,4268280.988756661,,,,,,,,,,,,,,,,,,31130560.612952225,,,
Earth,2017,2651682.0,,3263779.2314807544,,,,,,,63150000.0,,6819974.959278552,,,677038.2236713724,2390968.514864772,2231801.6302372697,,,,863712.9931519894,4523686.001600687,,,,,,,,,935120.8495656393,,7100212.553746466,,5265853.119767326,17363.344
Earth,2018,,,,,,,964202.98,,15494930.36,,638724.63,,659518.6416829982,,,,201345.32997887523,37100908.769030996,,,,,,,,,,,,,1999423.5,,8890121.6440511,,4699516.098289521,
Earth,2019,,,,,,35710000.0,2327239.27,5000000.0,13890645.77,,682037.9199999999,,4715855.832120306,,,,,,935695.2000000001,359538806.70699996,,,,1779999.6,,150000.0,60875.600000000006,,320000.0,,,50868.0,,101736.0,,
Earth,2020,,,,429792.89910000004,79767075.0,,727765.37,5000000.0,1603561.73,,181713.97999999998,5698005.965977726,9779184.460397296,1250000.0,,,283974.97782053053,,,423540000.0,,8340325.002951189,,1087689.6,,,,,180000.0,,239925.9876134574,,,,,
Earth,2021,,1888523.46,,745042.8403,59129610.0,,1561329.1600000001,,,134112.0,60000000.0,,,10975780.0,,,913781.0911431374,,,,,7042109.002491821,20000000.0,759697.6000000001,9822000.0,336569.94,31800.800000000003,49835.920568728696,200000.0,22669.46,304659.98427146673,,,,,
country/AUT,2019,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/AUT,2020,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2019,,,,,,,,,,,,,,,,,,,935695.2000000001,,,,,1779999.6,,,60875.600000000006,,320000.0,,,50868.0,,101736.0,,
country/FIN,2020,,,,,,,,,,,,,,,,,,,,,,,,1087689.6,,,,,180000.0,,,,,,,
country/FIN,2021,,,,,,,,,,,,,,,,,,,,,,,,759697.6000000001,,,31800.800000000003,,200000.0,,,,,,,
country/ITA,2020,,,,,79767075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ITA,2021,,,,,59129610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/USA,2021,,,,,,,,,,,60000000.0,,,,,,,,,,,,20000000.0,,,,,,,,,,,,,
