dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedKingdom
Earth,2013,,92463366.66666667,258859500.0,,591078.0,,,216600000.0,335691775.0,149722463.8,574036863.8,9360000.0,1174874980.0,74331000.0,2655337.0,869008414.2,142752000.0,,,,26136673.200000003,
Earth,2014,,,402956000.0,,4330635.600000001,,,172960000.0,609126759.0,239432134.2,578807078.0,,2302859917.735,,,1028320933.6,,,,,38800000.0,
Earth,2015,,44918370.0,151467800.0,,11093357.6,,,94300000.0,702209649.0,264554628.6,955810178.6248033,142035300.0,1269614712.0,,,968417956.0,122677200.0,,,,15000000.0,
Earth,2016,,4059381.0,87861817.2,,,,,20000000.0,652825391.0,229311995.8,509819579.48759836,340293000.0,1783504179.99,,,591330914.0,57080000.0,6634966.0,,,6000000.0,
Earth,2017,22771.51174909112,130575469.15400556,210738185.028233,,,,,29608000.0,777412215.0,184558298.4,797893525.444,146900000.0,2066922242.3602,,,1277088194.0,57600000.0,,,8085125.600000001,,1545198.0
Earth,2018,1171804.2075245052,138504483.672686,418673970.11,,,,,46194000.0,61589984.0,307886841.4,390928726.0927703,286347037.6,3201238780.092635,,20063732.0,517257677.2,24634673.200000003,18883512.0,58668712.0,,,53354.40000000001
Earth,2019,,289393605.20424384,252758412.0,,8955558.0,,980000.0,,907335465.8,832634053.0,160590908.37953138,10501000.0,2405864975.23272,36123391.50564376,,265884366.00000003,119399386.0,4477779.0,,,,
Earth,2020,,242953785.1231273,83085106.52916801,,,,77578400.0,2380000.0,2097666552.8,480385278.8,168903015.02185583,2952000.0,4173543376.017581,4810000.0,,3336927979.6000004,14823000.0,,,,,
Earth,2021,,75991516.9,87063537.0,11729615.600000001,,151575590.0,,,2003276679.8000002,236494657.2,128969174.0838066,15408000.0,3299925528.013669,6158670.0,,1649018205.2,580439314.8,,,,5600000.0,
country/AGO,2013,,1891200.0,,,,,,,,,,,,,,,,,,,,
country/AGO,2015,,,,,,,,,,,9874200.0,,,,,,,,,,,
country/AGO,2017,,,,,,,,,,,4000000.0,,,,,,,,,,,
