dcid,year,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDDevelopmentBankofLatinAmerica,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,,252449767.6045,,,,,,,,,,,,6250000.0,504573000.0,,183730000.0,,,,
Earth,2014,,84413000.0,,,,,,,10144470.39936314,,,,,70548170.0,780368351.853,,,,,,
Earth,2015,103951027.67473085,112870280.0,,,,,,,98899198.88791718,,,,469564800.0,18720000.0,1166543522.0,,,,,,
Earth,2016,42233190.75,712718937.617,,,,,,,128934065.66245328,,,,144488107.2,167943224.68,1319780720.0,,,,,,
Earth,2017,11156782.159340067,524198393.672049,207600000.0,,,,1273000000.0,,357224649.771765,,,79742980.8,34412000.0,461365040.02,2580640005.4928,,,,,,
Earth,2018,421431746.54022145,708070314.398,581029420.0,,,5192966.0,561500000.0,,163463531.21680644,,23604390.400000002,147933175.97073054,310703248.0,231439467.0,2581647189.665897,,,30593.600000000002,,,20000000.0
Earth,2019,837973400.5214,968198684.9446751,387148840.0,141540000.0,,,184000000.0,865634.6033999999,976465386.6307919,15672226.8,,41829892.27678272,226536698.00123617,693273795.2554,3686234740.95724,,59614130.971039236,,33583.200000000004,408371.20000000007,171800000.0
Earth,2020,893316397.7200433,664505979.1989201,141429200.0,182995400.0,399160000.0,,,,400492678.4193598,6000000.0,20602027.0,99847127.5,99776464.1,13000000.0,3637129324.75957,1068933279.571,90614000.0,127786.40000000001,,153905.6,12000000.0
Earth,2021,677585469.225,1081443112.846732,590421200.0,,150000000.0,,658031000.0,,265810057.32461733,8000000.0,,404871185.1688088,146092860.0,432224400.0,4349580532.120445,541800718.97,149262609.4,351636.0,,,
country/AGO,2017,,,,,,,,,,,,,23040000.0,,,,,,,,
country/AGO,2018,50534532.7032,,,,,,,,,,,,,,20379000.0,,,,,,
country/AGO,2019,,,,,,,,,,,,,14824728.0,,23664000.0,,,,,,
country/AGO,2021,,,,,,,,,,,,,6708350.0,,107240842.0,,,,,,
country/ALB,2016,,,,,,,,,14353643.7023112,,,,,,,,,,,,
country/ALB,2018,,,,,,,,,,,,,,,38816000.0,,,,,,
country/ALB,2019,,,,,,,,,12313892.309414499,,,,,,2580000.0,,,,,,
country/ALB,2020,,,,,,,,,14854876.558404598,,,,,,,,,,,,
country/ALB,2021,,,,,,,,,,,,,,,2101011.0,,5680000.0,,,,
country/ARG,2015,,,,,,,,,,,,,34160400.0,,28510352.0,,,,,,
country/ARG,2016,,,,,,,,,,,,,9840000.0,112000000.0,200000000.0,,,,,,
country/ARG,2017,,,,,,,316000000.0,,,,,79742980.8,,161350000.0,433595000.0,,,,,,
country/ARG,2018,,,,,,,,,,,,,,19652580.0,100005000.0,,,,,,
country/ARG,2019,,,,,,,,,,,,,,69341000.0,30506800.0,,,,,,160000000.0
country/ARG,2021,,,,,,,48000000.0,,,,,,3843260.0,119740000.0,287003860.0,,,,,,
country/ARM,2014,,,,,,,,,,,,,,,23000000.0,,,,,,
country/ARM,2016,,1761480.0,,,,,,,,,,,,,,,,,,,
country/ARM,2018,,18800000.0,,,,,,,,,,,,,,,,,,,
country/ARM,2019,,,,,,,,,,,,,,,780000.0,,,,,,
country/ARM,2021,,,,,,,,,,,,,,,367950.2,,,,,,
country/ATG,2018,,,,,,,,,,,,,,,10000.0,,,,,,
country/AZE,2014,,30000000.0,,,,,,,,,,,,,,,,,,,
country/AZE,2017,,3900000.0,,,,,,,,,,,8000000.0,,,,,,,,
country/AZE,2018,,,,,,,,,13603635.076124199,,,,,,,,,,,,
country/AZE,2020,,,,,,,,,,,,,,,10180000.0,,,,,,
country/AZE,2021,,,,,,,,,2032580.4162724703,,,,,,30999085.0,,,,,,
country/BEN,2019,74902963.02,,,,,,,,,,,,,,,,26325205.325395852,,,,
country/BEN,2020,,,,,,,,,,,,,,,,54160000.0,,,,,
country/BEN,2021,,,,,,,,,,,,,,,,50560560.0,55000000.0,,,,
country/BFA,2013,,,,,,,,,,,,,,,,,20910000.0,,,,
country/BFA,2019,30119272.26,,,,,,,,,,,,,,,,,,,,
country/BGD,2015,,10984000.0,,,,,,,,,,,,,,,,,,,
country/BGD,2016,,160370000.0,,,,,,,,,,,,,,,,,,,
country/BGD,2017,,33900000.0,,,,,,,,,,,,,,,,,,,
country/BGD,2018,,25100000.0,,,,,,,,,,,,,,,,,,,
country/BGD,2019,,140075616.05844,,,,,,,,,,,,,,,,,,,
country/BGD,2020,,34513265.78298,81429200.0,,,,,,,,,,,,,407642000.0,,,,,
country/BGD,2021,,78520000.0,,,,,,,,,,,,,,168025120.0,,,,,
country/BIH,2014,,,,,,,,,7960727.07973995,,,,,,,,,,,,
country/BIH,2015,,,,,,,,,,,,,17650000.0,,,,,,,,
country/BIH,2016,,,,,,,,,43442441.66758821,,,,,,60401000.0,,,,,,
country/BIH,2018,,,,,,5192966.0,,,17490853.29871359,,,,11600806.4,,,,,,,,
country/BIH,2019,,,,,,,,,236874510.2429191,,,,,,,,,,,,
country/BIH,2020,,,,,,,,,683760.683760684,,,,,,26211400.0,,,,,,
country/BIH,2021,,,,,,,,,1655629.1390728499,,,,,,30450000.0,,,,,,
country/BLR,2019,,,,,,,,,141050039.180566,,,,,,20189900.0,,,,,,
country/BLZ,2014,,,,,,,,,,,,,,27000000.0,28920000.0,,,,,,
country/BLZ,2015,,,,,,,,,,,,,,15000000.0,,,,,,,
country/BLZ,2017,,,,,,,,,,,,,,10000000.0,,,,,,,
country/BLZ,2018,,,,,,,,,,,,,6400000.0,1120000.0,,,,,,,
country/BLZ,2019,,,,,,,,,,,,1914800.0,,75000.0,,,,,,,
country/BLZ,2020,,,,29820000.0,,,,,,,,,,,,,,,,,
country/BOL,2015,,,,,,,,,,,,,,,80400000.0,,,,,,
country/BOL,2016,,,,,,,,,,,,,,35024200.0,,,,,,,
country/BOL,2017,,,,,,,169750000.0,,,,,,,,66250000.0,,,,,,
country/BOL,2018,,,,,,,77000000.0,,,,,,,,10558800.0,,,,,,
country/BOL,2019,,,,,,,,,,,,,,68710000.0,,,,,,,
country/BOL,2020,,,,,,,,,,,,,,,12000000.0,41678000.0,,,,,
country/BOL,2021,,,,,,,80750000.0,,,,,,23048880.0,,,,,,,,
country/BRA,2013,,,,,,,,,,,,,,,34000000.0,,,,,,
country/BRA,2014,,,,,,,,,,,,,,9965670.0,102435000.0,,,,,,
country/BRA,2016,,,,,,,,,,,,,15731200.0,105024.68000000001,9680000.0,,,,,,
country/BRA,2017,,,,,,,115600000.0,,,,,,,29399550.3,41122160.0,,,,,,
country/BRA,2018,,,,,,,,,,,,,16000000.0,52678711.0,44550000.0,,,,,,
country/BRA,2019,,,,,,,50000000.0,,,,,,,60615715.2554,188821020.95724002,,,,,,
country/BRA,2020,,,,,,,,,,,,42900000.0,,,354410000.0,,,,,,
country/BRA,2021,,,,,,,19200000.0,,,,,,13302220.0,46752000.0,,,,,,,
country/BTN,2015,,1162000.0,,,,,,,,,,,,,,,,,,,
country/BWA,2017,,,,,,,,,,,,,,,145500000.0,,,,,,
country/BWA,2021,,,,,,,,,,,,,,,41670833.336667,,,,,,
country/CHL,2015,,,,,,,,,,,,,,,16337170.0,,,,,,
country/CHL,2017,,,,,,,14000000.0,,,,,,,,2531363.0105,,,,,,
country/CHN,2013,,247949667.6045,,,,,,,,,,,,,387854000.0,,,,,,
country/CHN,2014,,1998999.9999999998,,,,,,,,,,,,,153730000.0,,,,,,
country/CHN,2015,,,,,,,,,,,,,60832000.0,,38950000.0,,,,,,
country/CHN,2016,,136632000.0,,,,,,,,,,,,,115770000.0,,,,,,
country/CHN,2017,,85491000.0,,,,,,,,,,,,,24480000.000000004,,,,,,
country/CHN,2018,,151186000.0,,,,,,,,,,,121201120.0,,414845000.0,,,,,,
country/CHN,2019,,269475004.559371,,,,,,,,,,25000000.0,,,190170000.0,,,,,,
country/CHN,2020,,193801636.88793007,,,,,,,,,,,59941428.0,,109315000.0,,,,,,
country/CHN,2021,,98625268.42580001,392000000.0,,,,,,,,,,,,104778694.0,,,,,,
country/CIV,2017,6914768.36409021,,,,,,,,,,,,,,,,,,,,
country/CIV,2018,,,,,,,,,,,,,,,25280000.000000004,,,,,,
country/CIV,2019,56204753.3499,,,,,,,,,,,,,,,,,,,,
country/CIV,2020,21306675.8465,,,,,,,,,,,,,,,178416000.0,,,,,
country/CIV,2021,84518426.17,,,,,,,,,,,,,,,36180000.0,29900000.0,,,,
country/CMR,2016,,,,,,,,,,,,,,,16780800.0,,,,,,
country/CMR,2017,4099004.0,,,,,,,,,,,,,,22000000.0,,,,,,
country/CMR,2018,17128347.72814,,,,,,,,,,,,,,,,,,,,
country/CMR,2019,2007951.485,,,,,,,,,,,,,,,,,,,,
country/CMR,2020,65387121.676,,,,,,,,,,,,,,,,,,,,
country/CMR,2021,18607871.48,,,,,,,,,,,,,,,,,,,,
country/COD,2019,,,,,,,,,,,,,7059007.5,,,,,,,,
country/COL,2015,,,,,,,,,,,,,,,117250000.0,,,,,,
country/COL,2016,,,,,,,,,,,,,,,103602000.0,,,,,,
country/COL,2017,,,,,,,4000000.0,,,,,,,6459000.0,122080850.0,,,,,,
country/COL,2018,,,,,,,17000000.0,,,,,,,,,,,,,,
country/COL,2019,,,,,,,44000000.0,,,,,,,,6100000.0,,,,,,
