dcid,year,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDUnitedArabEmirates
Earth,2013,,,,,,106213488.0,7966011.600000001,,,50290800.0,,1593202.4000000001,153702698.0,20000000.0,,,
Earth,2014,300000.0,,,,,514084120.0,229519523.60000002,,,334343840.0,,,137518600.6,10000000.0,,,
Earth,2015,,,,,,450804216.0,133745148.00000001,,,,,11092623.2,123964586.0,,,,
Earth,2016,,,5307973.2,113173382.0,28000000.0,349820857.0,128509874.80000001,,18825000.0,,,6634966.400000001,152007257.2,13352000.000000002,,,
Earth,2017,,,,240351283.0,84880000.0,803941941.0,259223733.60000002,,,,,46521388.800000004,89139986.0,,,,
Earth,2018,,,,365326748.0,,140506766.8,270423888.8,,,,,14162634.4,84836894.80000001,,,,5200000.0
Earth,2019,,,,113036920.0,,483564311.6,86348150.4,,52899000.0,,739026.7559689131,13433337.200000001,,,11194448.0,7971833.600000001,14000000.0
Earth,2020,,11396011.200000001,,,,498089384.40000004,268034188.0,,,,,112592592.4,291844319.2,,,,
Earth,2021,,,,55763860.0,,,248371938.8,2659600.0,,,5720000.0,118259224.0,63581459.6,100000000.0,14612110.0,,
country/AGO,2020,,,,,,42394373.0,,,,,,,,,,,
country/ALB,2013,,,,,,,,,,,,1593202.4000000001,,,,,
country/ALB,2015,,,,,,,26622296.400000002,,,,,,,,,,
country/ALB,2016,,,,,,,22116554.0,,,,,,,,,,
country/ALB,2019,,,,,,,13433337.200000001,,,,,,,,,,
country/ALB,2021,,,,,,,47303689.6,,,,,,,,,,
country/ARM,2014,,,,,,,45216930.0,,,,,,,,,,
country/ARM,2015,,,,,,,36827509.6,,,,,,,,,,
country/ARM,2019,,,,,,,17911116.0,,,,,,,,,,
country/BEN,2013,,,,,,,,,,2000000.0,,,,,,,
country/BFA,2016,,,,,8000000.0,,,,,,,,,,,,
country/BFA,2019,,,,,,,,,,,,,,,,,4000000.0
country/BGD,2020,,,,,,,,,,,,,7141090.800000001,,,,
country/BOL,2020,,,,,,,,,,,,1367521.2000000002,,,,,
country/BRA,2017,,,,,6000000.0,,,,,,,,,,,,
country/BRA,2020,,,,,,31908832.0,,,,,,,,,,,
