dcid,year,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDDenmark,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDSwitzerland,climateFinanceReceivedCommitmentsEquityInvestmentByProviderCurrentUSDUnitedKingdom
Earth,2013,,,,1247539.1023733958,10707273.0,,125442359.4,,,,,60434.8,20813092.0,5925281.0,
Earth,2014,4371263.0,,,13700352.770806495,45650152.4,,104152845.8,,,14189093.0,,,,9858940.0,
Earth,2015,14198558.0,,,1198649.6000510696,519578.4,,49011038.0,,,94300000.0,,,12226644.0,,3882231.0
Earth,2016,4644476.0,,5227290.0,16131460.90958463,2186010.4000000004,,44630962.8,,10360000.0,1102914.0,6634966.0,,,8253781.600000001,
Earth,2017,10135836.0,,21153655.0,12672212.794560429,835306.0,,116108668.0,,16590000.0,,14654492.0,,,15233066.0,5999704.0
Earth,2018,1500000.0,,,83645675.70184343,10884453.200000001,97589722.8,40599551.6,,7505000.0,,22424171.0,,,,2269537.0
Earth,2019,,,,88913192.04701643,12054181.0,66994868.4,278302919.8,8180000.0,,30455065.0,11194448.0,,,,60964197.0
Earth,2020,,10000000.0,,70765045.49056378,51607472.400000006,71434250.8,154198516.0,35388000.0,,,,,,,69913244.6
Earth,2021,10052034.0,,,,63604816.2,112416229.0,88221382.2,,,32348358.8,40208136.0,,,4157549.2,88477014.0
country/AZE,2014,,,,,,,2388218.0,,,,,,,,
country/BRA,2016,,,320913.0,,,,,,,,,,,,
country/BRA,2017,,,1781.0,,,,,,4400000.0,,,,,,
country/BRA,2020,,,,,,50142449.8,,,,,,,,,
country/CHN,2014,,,,,4643757.0,,,,,,,,,,
country/CHN,2016,,,3967552.0,,,,,,,,,,,,
country/COL,2016,,,,,,,,,760000.0,,,,,,
country/COL,2017,,,,,,,,,3100000.0,,,,,,
country/COL,2018,,,,,,,,,1500000.0,,,,,,
country/COL,2019,,,,,,,19590283.0,,,,,,,,
country/DOM,2021,,,,,,27672658.0,,,,,,,,,
country/EGY,2017,,,9683449.0,213919.38468627943,,,,,,,,,,,
country/EGY,2018,,,,319782.1369960943,,,,,,,,,,,
country/EGY,2019,,,,874835.4922585944,,,,,,,,,,,
country/ETH,2013,,,,,194370.80000000002,,,,,,,,,,
country/ETH,2021,,,,,220435.2,,,,,,,,,,
country/GEO,2014,,,,,,,2653575.6,,,,,,,,
country/GEO,2015,6100943.0,,,,,,,,,,,,,,
country/HND,2016,,,,,,,,,2100000.0,,,,,,
country/HTI,2021,,,,,,17404219.0,,,,,,,,,
country/IDN,2015,,,,,519578.4,,,,,,,,,,
country/IDN,2016,,,,,192203.2,,,,,,,,,,
country/IDN,2018,,,,,2884456.4000000004,,,,,,,,,,
country/IND,2016,,,938825.0,,,,,,,,,,,,
country/IND,2017,,,1189145.0,,,,,,,,,,,,
country/IND,2018,,,,,,,,,,,,,,,1546581.0
country/IND,2019,,,,14952512.319999998,,20937259.4,16791671.0,,,,,,,,19822225.0
country/IND,2020,,,,,4558405.0,,3871292.0,,,,,,,,28602483.0
country/IND,2021,,,,,,,,,,31171463.6,,,,,
country/KEN,2014,,,,,29189333.0,,,,,,,,,,
country/KEN,2021,,,,,,10387282.0,,,,1176895.2,,,,,
country/LAO,2017,5636343.0,,,,,,,,,,,,,,
country/LAO,2018,,,,,,2009910.8,,,,,,,,,
country/MEX,2014,,,,,4000000.0,,,,,,,,,,
country/MEX,2017,,,,,,,,,1200000.0,,,,,,
country/MLI,2017,,,146435.0,,,,,,,,,,,,
