dcid,year,climateFinanceReceivedCommitmentsMitigationOdaLoansCurrentUSD
Earth,2013,10201358935.496136
Earth,2014,13108005954.734901
Earth,2015,9643501101.385553
Earth,2016,9634500625.416798
Earth,2017,8876694748.071135
Earth,2018,10960568086.218746
Earth,2019,9658666210.451338
Earth,2020,10438345303.60007
Earth,2021,9614899172.751556
country/ALB,2016,5307973.2
country/ALB,2021,70955535.0
country/AGO,2015,78147274.8
country/AGO,2018,37294936.800000004
country/ATG,2017,15000000.0
country/ARM,2013,13253581.0
country/ARM,2016,8846621.6
country/ARM,2017,6763611.600000001
country/ARM,2018,52000000.0
country/ARM,2019,22388895.0
country/ARM,2020,1709402.0
country/ARM,2021,71397999.0
country/AZE,2017,126817721.0
country/AZE,2019,104286842.0
country/BGD,2013,693825423.0
country/BGD,2014,1153666788.2
country/BGD,2015,706664897.0
country/BGD,2016,791764967.6
country/BGD,2017,324609707.91749203
country/BGD,2018,1116004589.6245
country/BGD,2019,1136422799.4
country/BGD,2020,950469244.8000001
country/BGD,2021,710272547.0
country/BLR,2019,2350833.9862
country/BLR,2020,3988603.9873725735
country/BEN,2015,4140000.0
country/BEN,2017,74873554.2
country/BEN,2018,30650595.3706
country/BEN,2019,8404400.0
country/BEN,2020,14576140.0
country/BEN,2021,17951556.413043477
country/BTN,2013,39000000.0
country/BTN,2015,25250000.0
country/BTN,2018,3300000.0
country/BTN,2019,975000.0
country/BTN,2020,7246000.0
country/BTN,2021,17098650.0
country/BOL,2013,940000.0
country/BOL,2014,57326448.0
country/BOL,2016,75349663.0
country/BOL,2017,363130611.40000004
country/BOL,2018,141787400.0
country/BOL,2019,100750028.0
country/BIH,2013,99575146.0
country/BIH,2014,204482419.0
country/BIH,2017,67636117.0
country/BIH,2018,18765490.5687
country/BIH,2019,6716668.4
country/BIH,2020,12498735.38451321
country/BIH,2021,19810147.344800003
country/BRA,2014,726837898.0
country/BRA,2015,293954553.0
country/BRA,2017,191224605.0
country/BRA,2018,210604292.8
country/BRA,2020,377318450.0
country/BRA,2021,102104724.4
country/BFA,2013,4435000.0
country/BFA,2014,44812727.0
country/BFA,2016,6545000.000000001
country/BFA,2017,98202000.0
country/BFA,2018,39506407.28064
country/BFA,2019,10810200.0
country/BFA,2020,111933705.0
country/BFA,2021,126514786.0034608
country/CPV,2013,17041942.0
country/CPV,2014,7776148.0
country/CPV,2015,2732348.0
country/CPV,2018,210000.0
country/CPV,2019,540579.8724
country/CPV,2020,5500000.0
country/CPV,2021,4040280.0
country/KHM,2014,67087432.0
country/KHM,2015,90263000.4
country/KHM,2018,59240875.2
country/KHM,2019,89280783.59332
country/KHM,2020,26978403.0
country/KHM,2021,16011084.0
country/CMR,2016,39000000.0
country/CMR,2017,47478559.2411
country/CMR,2018,25260000.0
country/CMR,2019,2200000.0
country/CMR,2020,343621640.0
country/CMR,2021,87850400.0
country/TCD,2021,11993562.0
country/CHL,2013,95468401.0
country/CHL,2014,454297837.0
country/CHL,2015,93969730.42
country/CHL,2016,146864978.0
country/CHN,2013,40626660.0
country/CHN,2014,147273451.2
country/CHN,2015,44370493.6
country/CHN,2016,271591284.8
country/CHN,2017,92436028.0
country/CHN,2019,207097279.0
country/CHN,2020,328000000.4
country/COL,2013,100000000.0
country/COL,2014,43291866.800000004
country/COL,2015,61190000.0
country/COL,2016,40716554.400000006
country/COL,2017,158841904.0
country/COL,2018,37767024.800000004
country/COL,2019,100746502.0
country/COL,2021,48494565.0
country/COM,2019,3059000.0
country/COM,2020,16258750.0
country/COM,2021,20020.0
