dcid,year,climateFinanceReceivedCommitmentsMitigationOtherOfficialFlowsCurrentUSD
Earth,2013,5172462415.960472
Earth,2014,8914177404.681734
Earth,2015,8776514020.408072
Earth,2016,8946335657.646212
Earth,2017,13618145279.156683
Earth,2018,16448666610.232655
Earth,2019,18837847742.38792
Earth,2020,16625577979.746233
Earth,2021,21531617226.593502
country/AFG,2019,4000000.0
country/ALB,2013,2232356.662791367
country/ALB,2014,106850181.769935
country/ALB,2016,159063038.48202989
country/ALB,2018,5369998.819780481
country/ALB,2019,110315682.83891194
country/ALB,2020,23735907.475783434
country/ALB,2021,21084525.488363244
country/AGO,2016,21875000.0
country/AGO,2018,8514000.0
country/AGO,2019,86088000.0
country/AGO,2020,464030431.3
country/AGO,2021,155517704.86
country/ARG,2013,300000000.0
country/ARG,2014,6603000.0
country/ARG,2015,239970840.0
country/ARG,2016,51200000.0
country/ARG,2017,1071637500.0
country/ARG,2018,854975000.0
country/ARG,2019,361053885.0
country/ARG,2020,1079301.2
country/ARG,2021,1198371380.0
country/ARM,2013,24312034.74508763
country/ARM,2014,19307921.675056778
country/ARM,2015,60195610.17306316
country/ARM,2016,17526607.94413425
country/ARM,2017,121432209.08578512
country/ARM,2018,14272839.985129235
country/ARM,2019,61996363.3086784
country/ARM,2020,45882899.711957276
country/ARM,2021,130954813.00407998
country/AZE,2013,57175265.47496522
country/AZE,2014,10294865.232105615
country/AZE,2015,13426983.31789298
country/AZE,2016,171835188.33370817
country/AZE,2017,146100000.0
country/AZE,2018,5882214.09182108
country/AZE,2019,7990265.02854584
country/AZE,2021,7420980.392620619
country/BGD,2014,20000000.0
country/BGD,2015,300382000.0
country/BGD,2016,312700000.0
country/BGD,2017,274720000.0
country/BGD,2018,464361696.8
country/BGD,2019,475957069.01616
country/BGD,2020,760506000.0
country/BGD,2021,327399220.0
country/BLR,2013,163849857.2201588
country/BLR,2014,107679793.74500686
country/BLR,2015,41812170.07858969
country/BLR,2016,26053300.629496466
country/BLR,2017,2554962.42588209
country/BLR,2018,157275014.75274393
country/BLR,2019,152623224.65017352
country/BLR,2020,35986284.130812526
country/BLZ,2016,3400000.0000000005
country/BLZ,2019,10252000.0
country/BLZ,2021,624000.0
country/BEN,2020,21232000.0
country/BEN,2021,26503520.0
country/BTN,2015,61418000.0
country/BOL,2013,300000.0
country/BOL,2017,51250000.0
country/BOL,2018,13558800.0
country/BOL,2019,115180000.0
country/BOL,2020,16954000.0
country/BOL,2021,36666666.666666664
country/BIH,2013,67843334.90992785
country/BIH,2014,3648666.57821414
country/BIH,2015,21970702.569670156
country/BIH,2016,44697569.75037884
country/BIH,2017,105155548.4567098
country/BIH,2018,59263071.12911602
country/BIH,2019,44436962.206347264
country/BIH,2020,79841575.56307906
country/BIH,2021,59839167.32805106
country/BWA,2020,13919790.0384
country/BWA,2021,83333333.34
country/BRA,2013,500014000.0
country/BRA,2014,315704872.8
country/BRA,2015,84500000.0
country/BRA,2016,839000000.0
country/BRA,2017,484029620.95
country/BRA,2018,1973459962.0
country/BRA,2019,1199977780.2696002
country/BRA,2020,363151100.88
country/BRA,2021,683785927.5500001
country/BFA,2018,14209843.079145502
country/BFA,2020,57413656.12
country/BFA,2021,427045.0
country/BDI,2018,4000000.0
country/CPV,2021,3062500.0
country/KHM,2017,3250000.0
country/KHM,2018,1200000.0
country/KHM,2020,2661262.4000000004
country/KHM,2021,9595955.0
country/CMR,2016,9100000.0
country/CMR,2018,342487902.8
country/CMR,2019,8988825.129
country/CMR,2020,275418323.6
country/CMR,2021,144773.0
country/TCD,2019,10000000.0
country/CHL,2013,220700000.0
country/CHL,2014,103700000.0
country/CHL,2016,118600000.0
country/CHL,2017,95931363.0105
country/CHN,2013,747048880.0
country/CHN,2014,1126770000.0
country/CHN,2015,512126000.0
country/CHN,2016,1382708092.154
country/CHN,2017,1050276353.6524222
country/CHN,2018,1547558551.61
country/CHN,2019,1457545106.765604
country/CHN,2020,988580621.15594
country/CHN,2021,1303758080.850393
country/COL,2013,15000000.0
country/COL,2015,264582000.0
country/COL,2016,32534000.0
country/COL,2017,988573690.0
country/COL,2018,309000000.0
country/COL,2019,1194628750.0
country/COL,2020,383410000.0
country/COL,2021,1732328069.0271947
country/COM,2018,150791.0
country/COG,2018,28000000.0
country/COK,2015,11190058.0
country/CRI,2015,217300000.0
country/CRI,2017,2000000.0
country/CRI,2019,117045000.0
country/CRI,2020,662799272.7972
country/CRI,2021,387823333.33225
country/CIV,2018,42060000.0
country/CIV,2019,178195214.39397
country/CIV,2020,228475326.2
country/CIV,2021,106454576.83
country/COD,2019,2563993.0
country/COD,2021,1182592.0
country/DMA,2021,180000000.0
country/DOM,2014,74747400.0
country/DOM,2015,117600000.0
country/DOM,2016,18450000.0
country/DOM,2018,358326000.0
country/DOM,2019,118645000.0
country/DOM,2020,107420.8
country/DOM,2021,379972.5
country/ECU,2013,402090000.0
country/ECU,2014,160000000.0
country/ECU,2015,552684000.0
country/ECU,2016,93625000.0
country/ECU,2017,464090000.0
country/ECU,2018,934150000.0
country/ECU,2019,399546603.4285714
country/ECU,2020,375165760.0
country/ECU,2021,77938439.6
country/EGY,2013,10408929.646840101
country/EGY,2014,432358285.2402397
country/EGY,2015,553367798.5241818
country/EGY,2016,376443104.64244074
country/EGY,2017,1775428996.7647393
country/EGY,2018,811608523.1511137
country/EGY,2019,600666804.6504519
country/EGY,2020,438603399.4060312
country/EGY,2021,1153674495.3525157
country/SLV,2014,500000.0
country/SLV,2015,57700000.0
country/SLV,2016,28000000.0
country/SLV,2019,26700000.0
country/SLV,2020,96325000.0
country/SLV,2021,38298980.0
country/SWZ,2019,26761447.992
country/SWZ,2020,2896000.0
country/SWZ,2021,60000.0
country/ETH,2019,58096330.0
country/ETH,2020,53587127.5
country/FJI,2019,415800.0
country/FJI,2020,3900000.0
country/GAB,2015,25320000.0
country/GAB,2019,4680000.0
country/GAB,2021,23749405.41
country/GMB,2019,84195.0
country/GEO,2013,38905848.3323358
country/GEO,2014,61034268.112617604
country/GEO,2015,25839418.801289044
country/GEO,2016,68458575.74825633
country/GEO,2017,21751036.69948431
country/GEO,2018,72868792.63543025
country/GEO,2019,200352845.31565535
country/GEO,2020,276159834.87999725
country/GEO,2021,218871404.64118946
country/GHA,2018,11822885.200000001
country/GHA,2019,12950000.0
country/GHA,2021,528595.0
country/GRD,2017,771300.0
country/GTM,2014,29460000.0
country/GTM,2019,52500000.0
country/GTM,2020,50732000.0
country/GTM,2021,81015150.0
country/GIN,2019,29943995.51
country/GIN,2021,8500000.0
country/GNB,2019,2119860.0
country/GUY,2014,14809500.0
country/GUY,2019,14630000.110000001
country/HTI,2020,5040000.0
country/HND,2014,6500000.0
country/HND,2015,5900000.0
country/HND,2017,1000000.0
country/HND,2018,16462020.0
country/HND,2019,5368674.5
country/HND,2020,250000000.0
