dcid,year,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsCurrentUSD
Earth,2013,117232172.81130591
Earth,2014,56004795.85365512
Earth,2015,310984690.6727966
Earth,2016,637823108.1012487
Earth,2017,138364591.45409125
Earth,2018,1358760117.92889
Earth,2019,1716167603.2879605
Earth,2020,3079612293.7578883
Earth,2021,3146862254.3884964
country/ALB,2018,95653.3
country/ALB,2019,5618636.1792
country/ALB,2020,26173825.23537119
country/ALB,2021,11127132.0456
country/AGO,2018,918954.3795167187
country/AGO,2019,1464949.9624160202
country/AGO,2020,2514668.7853527577
country/AGO,2021,56044599.93506366
country/ATG,2019,25.0
country/ATG,2020,8814.64
country/ATG,2021,201.74
country/ARG,2015,1041676.38
country/ARG,2016,41661844.22
country/ARG,2017,15203437.5
country/ARG,2018,22586026.37
country/ARG,2019,64985018.804000005
country/ARG,2020,78369232.50670001
country/ARG,2021,126058160.1899
country/ARM,2015,57500.0
country/ARM,2016,3928359.0
country/ARM,2018,21716894.0
country/ARM,2019,2317902.64
country/ARM,2020,2468063.0
country/ARM,2021,4906820.3964
country/AZE,2015,2575242.0
country/AZE,2016,4081560.0
country/AZE,2017,3907210.0799999996
country/AZE,2018,4173714.379961236
country/AZE,2019,4990958.717999999
country/AZE,2020,6092839.378
country/AZE,2021,4180246.582
country/BGD,2016,10020842.2304
country/BGD,2017,7744538.0604
country/BGD,2018,5598871.968
country/BGD,2019,17753010.629731536
country/BGD,2020,17747217.990016006
country/BGD,2021,33196639.08010611
country/BLR,2019,94870.94
country/BLR,2020,1435897.0018381719
country/BLR,2021,21556212.027595308
country/BLZ,2015,855097.8
country/BLZ,2016,782000.0
country/BLZ,2017,1200000.0
country/BLZ,2018,4165496.0
country/BLZ,2019,2462663.8
country/BLZ,2020,17644506.3725
country/BLZ,2021,12652809.2425
country/BEN,2020,1502221.1300120251
country/BEN,2021,3182182.3593706144
country/BTN,2015,639.1
country/BTN,2016,156214.9142
country/BOL,2015,80400000.0
country/BOL,2017,25000.0
country/BOL,2018,8261738.75
country/BOL,2019,75110860.5
country/BOL,2020,32090743.5136
country/BOL,2021,29167107.042
country/BIH,2018,3835631.8
country/BIH,2019,8672440.9
country/BIH,2020,23696464.214988112
country/BIH,2021,48407903.136204995
country/BWA,2018,4448362.0
country/BWA,2020,9398532.0
country/BWA,2021,57557141.66336832
country/BRA,2013,22000000.0
country/BRA,2014,6672145.0
country/BRA,2015,2951312.5
country/BRA,2016,7082980.75
country/BRA,2017,1158.0
country/BRA,2018,8729154.8027
country/BRA,2019,17149889.88
country/BRA,2020,16223310.549999999
country/BRA,2021,95785619.1183597
country/BFA,2020,407295.51
country/BFA,2021,1213184.3711377864
country/CPV,2019,25000.0
country/CPV,2020,5120680.055805624
country/KHM,2019,3999999.2
country/CMR,2017,22678764.0
country/CMR,2018,20729159.493300483
country/CMR,2019,265236.29199144605
country/CMR,2020,26887621.697292674
country/CMR,2021,1652606.012157795
country/CHN,2013,9819711.52
country/CHN,2014,37013348.05240357
country/CHN,2015,72225324.09368274
country/CHN,2016,100198880.63406684
country/CHN,2017,20578944.627386216
country/CHN,2018,83989323.10262476
country/CHN,2019,223208129.4654946
country/CHN,2020,208683950.88145608
country/CHN,2021,213425089.7737535
country/COL,2015,117367920.0
country/COL,2016,89883495.0
country/COL,2018,91944647.6
country/COL,2019,74334.36
country/COL,2020,79731984.03999999
country/COL,2021,144378644.0932577
country/CRI,2019,183206.0
country/CRI,2020,525985.744
country/CRI,2021,2307004.0413088854
country/CIV,2018,2950683.0198466578
country/CIV,2019,58035032.933653906
country/CIV,2020,25713855.7825872
country/CIV,2021,29570756.527108386
country/DOM,2020,150000000.0
country/ECU,2016,56752.5
country/ECU,2017,33653.2
country/ECU,2018,809588.87
country/ECU,2019,14890948.46
country/ECU,2020,58389747.04
country/ECU,2021,7100202.559200001
country/EGY,2018,31020847.059881248
country/EGY,2019,21794160.528816745
country/EGY,2020,175366344.6763705
country/EGY,2021,39880082.026514545
country/SLV,2020,1500.0
country/SLV,2021,3629318.75
country/GNQ,2020,866690.9990225792
country/GNQ,2021,2139045.997587666
country/SWZ,2020,172913.99923463265
country/SWZ,2021,338788.99
country/ETH,2020,13542994.08
country/ETH,2021,16133259.84
country/FJI,2015,12724.99678701525
country/FJI,2016,243735.90506470727
country/FJI,2019,3892694.7445801897
country/FJI,2020,124963.27642192296
country/FJI,2021,8107502.257438289
country/GAB,2018,12128407.98
country/GAB,2019,223880.29976097675
country/GAB,2020,34613750.51196461
country/GEO,2016,2191158.99
country/GEO,2017,1631958.143405111
country/GEO,2018,5937938.788868048
country/GEO,2019,43948064.024149396
country/GEO,2020,5538224.423446267
country/GEO,2021,38136719.29264195
country/GRD,2017,1239.75
country/GRD,2019,31682.5
country/GRD,2020,117056.92000000001
country/GRD,2021,72619.87000000001
