dcid,year,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAustralia,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDAzerbaijan,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDCzechRepublic,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDFoodandAgricultureOrganisation,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDGlobalGreenGrowthInstitute,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDHungary,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDIceland,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDIreland,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDLatvia,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDLiechtenstein,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDLithuania,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDLuxembourg,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDNetherlands,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDNewZealand,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDPoland,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDPortugal,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDRomania,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDSlovakRepublic,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDSlovenia,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsMitigationByProviderCurrentUSDUnitedStates
Earth,2013,,,7870000.0,,68479148.2,21014544.4,,35732878.800000004,,93547832.2,,207806730.0,,1559446.4,64109024.2,360873088.1191,,33396795.0,,1103392591.2,1328282390.6,,,,,4051077.4000000004,108414327.6,314757672.68,21480432.88,4008761.8,,19647580.6,1721243124.8,16384881.8,,,,1019815.4,134697092.8,2717959.6,8138385.0,967702431.4,509494.0,20884527.6,,102304.0,359686.8,41103521.8,74875083.8,62641297.4,8569823.0,364147470.2,338196608.0
Earth,2014,,,60268644.10459401,,8525080.8,20611007.400000002,,23220633.2,,28584705.6,,,,930117.2000000001,82091803.6,347566607.2848101,,49446074.2,,253964100.8,1842790479.2,,,,,4427375.0,317248256.075,241599162.0267,24986862.62,2315420.0,,30844601.0,1786411832.0,9996705.200000001,,,,2767427.8000000003,96570020.2,24403480.8,398036.0,627894632.6,1361447.4,11217921.6,,98712.0,335651.80000000005,8314237.6,69544856.4,72236023.60000001,38082000.0,259628416.4,522170762.0
Earth,2015,,,342496377.9519839,,18246345.4,17732971.4,,15136308.8,,11636790.4,,,,2386436.8,42729459.2,298292804.429284,,21530302.2,,547987268.2,1813799075.0,,2590322.451339176,,,3007263.0,543485410.0,1082672781.2344902,147264394.13,2029950.0,,53592626.8,2049489027.2,11402523.0,,,22519.6,2452832.0,63962520.0,10020946.6,460344.0,405131949.4,1101507.2,11165998.0,,23072.0,67311.0,11927655.2,72740586.8,59874722.800000004,42142942.4,297710703.4,302345414.2
Earth,2016,52281882.86529043,74409.87519916269,695161196.5552449,,5362191.4,20682927.0,,9833813.200000001,,17447214.8,,,,1201183.0,50827917.0,431358149.459461,939397920.6593509,17880086.0,,576991481.4,2437923441.2,148772716.4,16615141.49,,,3877169.4,68799581.85,1787506936.0705464,272017547.4347208,1307631.8,,15098384.4,2709867573.0,6170816.4,,,66791.6,4384177.2,60687447.8,8170982.600000001,3776136.0,332168196.2,626652.8,2328311.6,,28968.0,470453.4,11748664.4,70438453.0,70809708.2,28930014.0,421371064.0,164072515.8
Earth,2017,11532969.227942882,2758123.2,890974125.927343,26021584.38,18029373.6,24732748.6,,36848171.8,,24571961.200000003,,175214564.0,,1279820.0,55210359.2,531585528.54734814,1055289295.2473266,90059962.8,,1309483712.6,2127907608.8,4874728.0,13941765.8,,,4109205.2,826595874.1758,163920529.22,233792995.12565172,1179768.8,,24001343.400000002,3344965950.8,4263540.8,28170.0,,1700.0,3247088.0,59055720.800000004,8455308.8,14363268.0,362712754.40000004,315930.0,1524914.8,,42900.0,352796.0,13176103.2,95332827.60000001,63840566.2,48780000.0,585160598.6,147774078.0
Earth,2018,309388526.56284624,3905465.639477862,1372666176.6841397,51767426.8375,16356752.8,43970153.8,,67337212.0,,149076564.6,,302544370.0,1475274.0,1295297.2,107072656.0,719567770.7741945,667572227.1626889,21163171.6,9094131.2,654681661.0,2362072299.2,4192856.0,10961950.292627867,,,2359278.6,994481295.746,2625274701.1677637,1150701372.6699848,2341626.8,,30266142.8,2743577501.0,10983717.600000001,,,145030.80000000002,5932193.0,94936337.6,12643699.799999999,9098312.0,749883931.6,669657.6,641392.4,8596.4,31772.0,695047.0,15206520.0,153925658.4,74192793.2,6977950.0,984429553.6,795013324.0
Earth,2019,82458616.43836853,37253017.55007557,1553639681.56118,16424123.02,8270179.8,152907248.0,,64163302.0,,22091502.200000003,,,32855704.000000004,1786480.6,129497146.8,667809693.9889159,154870434.51981393,108310627.8,589141.0,1667193813.6,2555557801.6,,3721688.310020931,,146176.0,1539357.4000000001,781201149.0241001,2643775589.536616,1345077139.589413,720588.2,2233389.00701,28319554.6,3137356759.4,6260810.2,3683.0,,182147.40000000002,6084778.2,70544738.8,10291943.0,4181842.0,485891674.2,4090333.6,337604.6,,28508.0,1265996.2000000002,9686995.6,165154751.4,93301620.4,9199564.0,1044397387.2,610959268.6
Earth,2020,147796385.05672076,17588763.106995072,1784573250.3186529,79138311.48,15479915.400000002,136187687.6,236495.2,41305195.400000006,62678062.67806269,214945998.8,500000000.0,86070413.99751967,13333333.8,842363.8,86307800.0,713025556.0884999,226708412.66229585,73701999.4,2347588.8,2009835847.8,2652775266.0,,2474203.4921687683,2661240.4593072045,2922.0,2493001.6,894341003.0496,1777152878.5817235,1611390929.390705,1021019.2000000001,36000.0,14030710.6,2183569588.2,10710451.2,,,904614.2,140622.0,88857258.4,5536715.8,26020038.0,388208435.0,587060.4,471150.0,131893.0,205682.0,506760.4,6126497.6,130176957.4,75995130.2,1344950.0,874978148.4000001,695474594.6
Earth,2021,322774374.20617884,17724341.84450112,1716028269.6445718,149140641.2,10003167.6,42714615.6,,35043582.8,,360406418.0,247355.0,22234338.97264802,61494796.400000006,1069582.6,198750021.6,666977147.8365613,249004026.51299477,83792990.0,3416278.0,1921543237.4,1950908821.2,6605628.0,1633166.4224424977,228475247.29031563,988627.6,5010778.4,792945193.2691,3341320374.532495,2102973209.6341252,3430752.4,,19265845.0,2771566351.8,36566133.6,,255305.4,1135111.0,7938824.8,112152749.0,5354331.6,2791334.0,586862993.8,646728.4,940533.4,21094.8,574193.0,480335.8,27066047.0,128304466.60000001,90989334.0,5477850.0,712138620.6,747267268.0
country/AFG,2013,,,,,,,,,,,,,,,,4542091.4,,,,88954.0,10690455.8,,,,,,,,,,,26621.2,,,,,,,,,,1264560.4000000001,77841.6,,,,,,973064.4,,,,91659202.0
