dcid,year,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,,,,,,,,,70000000.0,,,,,,,,,68291470.0,314757672.68,,,,,,,,
Earth,2014,,57996426.64819401,,,,,,,,,,,,,,,,259557025.49,241599162.0267,,,,,,,,
Earth,2015,,296916930.5161839,,,,,,,,,,,,,,,,528500000.0,1082672781.2344902,,,,,,,,
Earth,2016,52281882.86529043,624547873.7061049,,,,,,,,,,,939397920.6593509,,,,,67214350.0,1787506936.0705464,,,,,,,,
Earth,2017,11501956.303735005,833566105.96175,26021584.38,,,,,,,,,,1055289295.2473266,,,,,734760593.33,163920529.22,,,,,,,,
Earth,2018,309388526.56284624,1299235848.3831117,51767426.8375,19132572.0,11930558.0,,4778952.4,,,1475274.0,21280420.0,5569310.766835561,667572227.1626889,,68266736.8,,,977358796.04,2625274701.1677637,,,343501801.4,1125325.6,26155515.0,1482367.6,,28190144.0
Earth,2019,82458616.43836853,1418040983.3461149,16424123.02,132808127.4,27703241.0,,,,,32016120.000000004,24587036.0,83282308.16763182,154870434.51981393,27651817.2,88264466.2,,,780412340.7916,2643775589.536616,,,67981284.2,2624387.2,25956655.0,4656424.0,113117953.4,78724167.0
Earth,2020,147792870.04946142,1685871545.586767,79138311.48,57856066.0,13646834.0,62678062.67806269,14986579.0,500000000.0,,12535612.4,17045072.0,18005370.898574978,226708412.66229585,16176977.8,142932404.0,34367111.6,,859123852.5353,1777152878.5817235,110154289.98508286,,61734074.8,,30515394.0,6606811.2,112916471.8,305342413.0
Earth,2021,322758219.78171545,1509240588.1224957,149140641.2,,20248747.0,,,,,61494796.400000006,56254759.6,23425480.59724858,249004026.51299477,9091566.0,107774287.6,,33000000.0,790826563.5766,3341320374.532495,126788317.92682852,4413434.0,198160121.79999998,,23314010.0,3880214.2,404400544.4,322248040.0
country/AFG,2019,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/AGO,2018,,,,,,,,,,,,,,,,,,,2478008.0628,,,,,,,,
country/AGO,2019,,,,,20304.0,,,,,,,,,,,,,,75900808.5842,,,,,,,,
country/AGO,2020,1268145.0008199336,,,,37430.0,,,,,,,,,,,,,,3960516.1266,,,,,,,7506.0,
country/AGO,2021,,,,,,,,,,,,,,,,,,,80165289.105,,,,,,,580474.0,
country/ALB,2015,,,,,,,,,,,,,,,,,,,4466613.61,,,,,,,,
country/ALB,2016,,,,,,,,,,,,,,,,,,,2651530.35,,,,,,,,
country/ALB,2018,,,,,,,,,,,,,1770329.28124631,,,,,,17354305.43,,,,,,,,
country/ALB,2019,,,,,,,,,,,,,,,,,,,4221512.140000001,,,,,,,,
country/ALB,2020,,,,,,,,,,,,,91438614.08344784,,,,,,244217.40000000002,,,,,,,897.0,
country/ALB,2021,,,,,,,,,,,,,4516521.97153133,,,,,,10464951.6,,,,,,,,
country/ARG,2014,,,,,,,,,,,,,,,,,,12000000.0,,,,,,,,,
country/ARG,2015,,,,,,,,,,,,,,,,,,,985427.6,,,,,,,,
country/ARG,2016,,,,,,,,,,,,,,,,,,1050000.0,21599106.78,,,,,,,,
country/ARG,2017,,,,,,,,,,,,,,,,,,10275000.0,26461862.0,,,,,,,,
country/ARG,2018,,,,,,,,,,,,,,,,,,202214670.43840003,13862027.02,,,,534818.4,,,,
country/ARG,2019,,,,,,,,,,,3895622.0,,,966175.6000000001,57209498.0,,,94671429.5296,42060364.985,,,,924013.6000000001,,,,
country/ARG,2020,,,,340909.0,,,,,,,3422675.0,,,2735216.0,26380506.0,1079301.2,,152638810.4541,6198460.695,,,,,,,,
country/ARG,2021,,,,,,,,,,,,,,74632.8,4925182.0,,,83649967.77610001,46832894.1745,,,,,,,,
country/ARM,2013,,,,,,,,,,,,,,,,,,,2480559.9299999997,,,,,,,,
country/ARM,2014,,,,,,,,,,,,,,,,,,,1644672.12,,,,,,,,
country/ARM,2015,,,,,,,,,,,,,,,,,,,3589504.0999999996,,,,,,,,
country/ARM,2016,,,,,,,,,,,,,5223657.636635964,,,,,,14777455.01,,,,,,,,
country/ARM,2017,,35000000.0,,,,,,,,,,,35000829.153338335,,,,,,,,,,,,,,
country/ARM,2018,,,,,,,,,,,,,4170895.786616314,,4387234.8,,,,14509230.76,,,,,,,,
country/ARM,2019,,30006818.0,,,,,,,,,,,1571401.0075820086,,,,,,1948958.49,,,,,,,,
country/ARM,2020,,15000000.0,,9000000.0,,,,,,,,,2600659.812505163,,,,,,758080.0,,,,,,,,
country/ARM,2021,,16040000.0,,,,,,,,,,,4294743.14049469,,,,,,2733246.2364000003,,,,,,,,
country/AZE,2016,,21188832.0,,,,,,,,,,,645803.4101977223,,,,,,6305036.16,,,,,,,,
country/AZE,2017,,79324707.84,,,,,,,,,,,956316.4904562033,,,,,,,,,,,,,,
country/AZE,2018,,62822936.940000005,,,,,,,,,,,1560887.4147832314,,,,,,341341.89,,,,,,,,
country/AZE,2019,,24132024.09,,,,,,,,,,,,,,,,,,,,,,,,,
country/AZE,2020,,10110171.622,,,,,,,,,,,,,,,,,,,,,,,,,
country/AZE,2021,,34391406.247999996,,,,,,,,,,,,,,,,,,,,,,,,,
country/BDI,2019,,,,,,,,,,,,,,,,,,,,,,,,,,209821.0,
country/BEN,2019,,,,,4161.0,,,,,,,,,,,,,,,,,,,,,,
country/BEN,2020,,,,,,,,,,,,,,,,,,,,585745.76,,,,,,,
country/BEN,2021,,,,,,,,,,,,,,,,,,,,1198640.48,,,,,,,
country/BFA,2021,1113528.0023273793,,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2014,,4666.6,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2015,,30074.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2016,,52532227.4227,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2017,,79048463.7329,24533864.38,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2018,,41662547.223000005,9886490.4,,22436.0,,,,,,,,,,10115011.200000001,,,,,,,,,,,,
country/BGD,2019,,166332075.20790482,15592190.02,5569510.800000001,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2020,,117976719.861631,2488377.48,,,,,,,,,,,,,,,,,3905395.200216657,,,,,,,
country/BGD,2021,,138926395.68072674,3120727.2,,,,,,,,,,,,,,,,,6514796.930175004,,,,,,,
country/BIH,2016,,,,,,,,,,,,,36345.15775462028,,,,,,,,,,,,,,
country/BIH,2017,,,,,,,,,,,,,21757716.16711293,,,,,,,,,,,,,,
country/BIH,2018,,,,,,,,,,1475274.0,,,1475273.9010386285,,,,,,30130390.731502503,,,,,,,,
country/BIH,2019,,,,4477779.2,,,,,,671666.8,,746891.5558876679,,,,,,,10260450.908567213,,,,,,,,
country/BIH,2020,,,,,,,,,,4558404.4,,1249873.3922161162,11531217.169794632,,,,,,12315332.933578486,,,,,,,,
country/BIH,2021,,,,,,,,,,,,3026390.9392498704,14751039.901570562,,,,,,8800653.03,,,,,,,,
country/BLR,2013,,,,,,,,,,,,,,,,,,,225000.0,,,,,,,,
country/BLR,2014,,,,,,,,,,,,,,,,,,,345000.0,,,,,,,,
country/BLR,2015,,,,,,,,,,,,,,,,,,,8500000.0,,,,,,,,
country/BLR,2016,,,,,,,,,,,,,2557242.2478483724,,,,,,61642762.0,,,,,,,,
country/BLR,2017,,,,,,,,,,,,,6983844.094209077,,,,,,,,,,,,,,
country/BLR,2018,,,,,,,,,,,,,32919863.090183772,,,,,,23444716.6,,,,,,,,
country/BLR,2019,,,,,,,,,,,,,,,,,,,18322116.42,,,,,,,,
country/BLR,2020,,,,,,,,,,,,,9146.634545447654,,,,,,19519361.42,,,,,,,,
country/BLR,2021,,,,,,,,,,,,,,,,,,,8877030.15,,,,,,,,
country/BLZ,2017,,,,,,,,,,,,,,,,,,216061.16,,,,,,,,,
country/BLZ,2018,,,,,,,,,,,,,,,,,,685046.28,,,,,,,,,
country/BLZ,2019,,,,,,,,,,,,,,,,,,850000.0000000001,,,,,,,,,
country/BLZ,2020,,,,,,,,,,,,,,,,,,524235.8908,,,,,,,,,
country/BLZ,2021,,,,,,,,,,,,,,,,,,334174.3564,,,,,,,,,
country/BOL,2018,,,,,,,,,,,,,,,,,,,65743.6,,,,,,,,
country/BOL,2019,,,,,,,,,,,,,,,,,,17860000.0,426792.2,,,,,,,,
country/BOL,2020,,,,,,,,,,,,,,,,,,,3193252.4036,,,,,,,,
country/BOL,2021,,,,,,,,,,,,,,,,,,,2486933.092,756875.0,,,,,,,
country/BRA,2013,,,,,,,,,,,,,,,,,,8880000.0,157000000.0,,,,,,,,
country/BRA,2014,,,,,,,,,,,,,,,,,,75000000.0,147062553.15,,,,,,,,
country/BRA,2015,,,,,,,,,,,,,,,,,,,23699754.0,,,,,,,,
country/BRA,2016,,,,,,,,,,,,,,,,,,,9371608.36,,,,,,,,
country/BRA,2017,,,,,,,,,,,,,,,,,,500000000.0,,,,,,,,,
country/BRA,2018,,,,,,,,,,,2371257.0,,,,,,,250420444.7916,14457520.04,,,,,,,,
country/BRA,2019,,,,2998992.4000000004,220654.0,,,,,,2558308.0,,,,,,,6534163.0,152085115.5,,,,1369304.8,,,,
country/BRA,2020,,,,,,,,,,,529841.0,,,,,,,40283831.248,8285049.350000001,,,,,,,,
country/BRA,2021,,,,,787399.0,,,,,,21078819.0,,,,,,,1820243.044,140641888.06044424,,,,,,,,
country/BTN,2015,,33779.9,,,,,,,,,,,,,,,,,,,,,,,,,
country/BTN,2016,,8256805.163799999,,,,,,,,,,,,,,,,,,,,,,,,,
country/BWA,2020,7360340.56857861,,,,,,,,,,,,,,,,,,,,,,,,,,
country/BWA,2021,7095614.388989398,,,,,,,,,,,,,,,,,,84999999.3268,,,,,,,,
country/CHL,2013,,,,,,,,,,,,,,,,,,16618230.0,,,,,,,,,
country/CHL,2014,,,,,,,,,,,,,,,,,,50093046.0,,,,,,,,,
country/CHL,2017,,,,,,,,,,,,,,,,,,25000000.0,,,,,,,,,
country/CHN,2013,,,,,,,,,,,,,,,,,,,1746805.0,,,,,,,,
country/CHN,2014,,2906180.818,,,,,,,,,,,,,,,,,53270368.32,,,,,,,,
country/CHN,2015,,12259186.564557271,,,,,,,,,,,,,,,,,92091647.5,,,,,,,,
country/CHN,2016,,192915828.23528248,,,,,,,,,,,,,,,,,205338068.49,,,,,,,,
country/CHN,2017,,129211162.63109176,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHN,2018,,448437080.99428254,,,,,,,,,793084.0,,,,,,,,622969788.3332,,,,,,,,
country/CHN,2019,,118721722.3251997,,,,,,,,,,,,,,,,,592967492.3932,,,,,,,,
country/CHN,2020,,175233530.4339908,,,,,,,,,,,,,,,,,283145007.9866,,,,,,,,
country/CHN,2021,,95768242.5123928,,,,,,,,,,,,,,,,,376026129.48260003,,,,,,,,
country/CIV,2018,,,,,23208.0,,,,,,,,,,,,,,3616784.6144999997,,,,,,,,
country/CIV,2019,,,,,,,,,,,,,,,,,,,2715150.2829,,,,,,,3169765.0,
country/CIV,2020,18453538.684965648,,,,8918555.0,,,,,,,,,,,,,,5670478.9383,75693628.8976,,,,,,,
country/CIV,2021,27999455.33344016,,,,5234639.0,,,,,,4243943.600000001,,,,,,,,7628106.749999999,4668264.6882,,,,,,14478493.200000001,
country/CMR,2018,,,,,,,,,,,,,,,,,,,72137.2,,,,,,,,
country/CMR,2019,,,,,104788.0,,,,,,,,,,,,,,146913.6,,,,,,,22245311.0,
country/CMR,2020,,,,150427.2,93774.0,,,,,,,,,,11965812.0,1739046.8,,,125711.0,,,,,,,17184316.0,
country/CMR,2021,,,,,144773.0,,,,,,,,,,,,,,605266.4,,,,,,,19780306.0,
country/COD,2019,,,,,,,,,,,,,,,,,,,,,,,,,,857111.0,
country/COD,2021,,,,,,,,,,,,,,,1182592.0,,,,,,,,,,,,
country/COK,2015,,276673.75299999997,,,,,,,,,,,,,,,,,,,,,,,,,
country/COK,2016,,355326.5844,,,,,,,,,,,,,,,,,,,,,,,,,
country/COL,2014,,,,,,,,,,,,,,,,,,992719.0,,,,,,,,,
country/COL,2015,,,,,,,,,,,,,,,,,,,234736500.0,,,,,,,,
country/COL,2017,,,,,,,,,,,,,,,,,,142110000.0,,,,,,,,,
country/COL,2018,,,,,,,,,,,,,,,,,,,389266096.07,,,,,,,,
country/COL,2019,,,,,2791765.0,,,,,,,,,,,,,410520000.0,143365528.12,,,,,,,,
country/COL,2020,,,,,,,,,,,,,,,,,,99960000.0,38518533.25,,,,,,,,
country/COL,2021,,,,,526415.0,,,,,,,,,,,,,657087309.4250001,566418520.8868935,,,,,,,,1440000.0
country/CRI,2020,,,,,,,,,,,,,,,31462259.0,,,230000000.0,,,,,,,,,
country/CRI,2021,,,,,,,,,,,,,,,11976628.0,,,7149570.0,84476955.54012297,,,,,,,,
country/DOM,2018,,,,,,,,,,,,,,,4210957.6,,,,20222988.94,,,,,,,,
country/DOM,2019,,,,,,,,,,,,,,,,,,95240000.0,36034917.519999996,,,,,,,,
country/DOM,2020,,,,,,,,,,,,,,,,107420.8,,,16521641.64,,,,,,,,
country/DOM,2021,,,,,,,,,,,,,,,,,,,16870221.759999998,,,,,,,,
country/ECU,2014,,,,,,,,,,,,,,,,,,54736030.5,4854500.0,,,,,,,,
country/ECU,2015,,,,,,,,,,,,,,,,,,528500000.0,113876000.0,,,,,,,,
country/ECU,2016,,,,,,,,,,,,,,,,,,58464350.0,11401371.13,,,,,,,,
country/ECU,2017,,,,,,,,,,,,,,,,,,6381200.0,,,,,,,,,
country/ECU,2018,,,,,107261.0,,,,,,,,,,,,,194000000.0,150852199.0,,,,,,,,
country/ECU,2019,,,,29989924.0,4917920.0,,,,,,,,,,,,,152016000.0,178817730.51,,,,,,,,
country/ECU,2020,,,,,,,,,,,,,,,,,,236936000.0,134488477.48000002,,,,,,,,
country/ECU,2021,,,,,,,,,,,,,,,,,,18234415.9512,31114261.196,,,,,,,,
country/EGY,2016,51725415.212153815,,,,,,,,,,,,9624018.57790556,,,,,,200000000.0,,,,,,,,
country/EGY,2017,,,,,,,,,,,,,79317288.8777448,,,,,,,,,,,,,,
country/EGY,2018,163941038.90848586,,,,,,,,,,12036695.0,2331884.248911986,14468865.623409389,,6878956.000000001,,,,487378719.8416,,,10425206.0,,,,,
country/EGY,2019,3159516.426872826,,,,,,,,,,,31380000.600137316,,,,,,,6068561.012,,,2602872.0,,,,9203521.0,
country/EGY,2020,3465646.4944328647,,,2157071.0,,,,,,,,1705045.29453843,9562823.992886644,2954926.0,,,,,14423930.9716,,,98176.0,,,,11523561.0,
country/EGY,2021,189456096.305272,,,,,,,,,,,,84088014.99061953,,,,,,57639133.2928,,,431133.0,,,,3018360.6,
country/ETH,2019,,,,,103273.0,,,,,,,,,,,,,,,,,,,,,,
country/ETH,2020,,,,,,,,,,,,,,,,,,,,2815814.1858,,,,,,63976.00000000001,
country/ETH,2021,,,,,,,,,,,,,,,,,,,,3354373.6084,,,,,,,
country/FSM,2014,,289894.40481796005,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2015,,24968.787266604864,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2016,,2004220.5856870771,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2017,,1384821.446747527,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2018,,273542.8821697527,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2019,,139668.49173713068,,,,,,,,,,,,,,,,,,,,,,,,,
country/GAB,2016,,,,,,,,,,,,,,,,,,,61701.05,,,,,,,,
country/GAB,2018,,,,,,,,,,,,,,,,,,,3478893.9000000004,,,,,,,,
country/GAB,2019,,,,,,,,,,,,,,,,,,,7327569.65,,,,,,,,
country/GAB,2020,,,,,,,,,,,,,,,,,,,793731.56,,,,,,,,
country/GAB,2021,,,,,,,,,,,,,,,,,,,5439784.82,,,,,,,,
country/GEO,2016,,,,,,,,,,,,,27471648.819924183,,,,,,4950.0,,,,,,,,
country/GEO,2017,,,,,,,,,,,,,36945754.14069336,,,,,,4741691.0,,,,,,,,
country/GEO,2018,,3386864.77917058,,,,,,,,,,,23026381.726440623,,,,,,220000.0,,,,,,,,
country/GEO,2019,,5858477.838160586,,24991604.0,,,,,,,,3299331.65809839,1253581.9300572942,,,,,,1234383.87,,,,,9305576.0,,,
country/GEO,2020,,355079.7081422491,,,,,,,,5698005.600000001,,5827161.241626794,54906063.42361044,,,,,,533325.9299999999,,,,,,,,
country/GEO,2021,,6629079.3516999055,,,,,,,,,,7932671.725652472,597733.1684416918,,,,,,2221361.257991573,,,,,,,,
country/GHA,2018,,,,,,,,,,,,,,,12127619.600000001,,,,,,,,,,,,
country/GHA,2019,,,,,21704.0,,,,,,58652.0,,,,,,,,,,,,,,,2107107.0,
country/GHA,2020,,,,,,,,,,,38153.0,,,,,,,,,,,,,,,,
country/GHA,2021,,,,,528595.0,,,,,,30335.0,,,,,,,,,,,,,,,,
country/GIN,2019,,,,,,,,,,,,23392006.888916932,,,,,,,,,,,,,,,
country/GRD,2017,,,,,,,,,,,,,,,,,,,1928.25,,,,,,,,
country/GRD,2018,,,,,,,,,,,,,,,,,,,7989.300000000001,,,,,,,,
country/GRD,2019,,,,,,,,,,,,,,,,,,,37645.41,,,,,,,,
country/GRD,2020,,,,,,,,,,,,,,,,,,,139042.59000000003,,,,,,,,
country/GRD,2021,,,,,,,,,,,,,,,,,,,69456.76000000001,,,,,,,,
country/GUY,2014,,,,,,,,,,,,,,,,,,197460.0,,,,,,,,,
country/HND,2018,,,,,,,,,,,,,,,1748057.6,,,,,,,5676939.0,31541.600000000002,,,,
country/HND,2019,,,,,,,,,,,,,,,,,,,,,,15133709.0,,,,,
country/HND,2020,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,,,
country/IDN,2014,,18186123.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/IDN,2015,,239681010.00000003,,,,,,,,,,,,,,,,,,,,,,,,,
country/IDN,2016,,64427238.0,,,,,,,,,,,,,,,,,310000000.0,,,,,,,,
country/IDN,2017,,86069573.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/IDN,2018,,63257450.0,,,,,,,,,,,,,,,,,30594457.17,,,,,,,,11876800.0
country/IDN,2019,,112060921.0,,,278778.0,,,,,,,,,,,,,,53567975.3976,,,,,,,,
country/IDN,2020,,77700000.0,,,,,,,,,,,,,,12491071.600000001,,,38576771.0632,,,,,,,,
country/IDN,2021,,37359847.25403178,31000000.0,,1369.0,,,,,,,,,,,,,,195112761.354,,,624673.0,,,,,
country/IND,2014,,36187699.08843214,,,,,,,,,,,,,,,,,,,,,,,,,
country/IND,2015,,31643027.87960714,,,,,,,,,,,,,,,,,32318700.0,,,,,,,,
country/IND,2016,,258841103.8689357,,,,,,,,,,,,,,,,,234903595.3,,,,,,,,
country/IND,2017,,228523001.85751426,175000.0,,,,,,,,,,,,,,,,293384.52,,,,,,,,
country/IND,2018,,341436647.9877143,34785529.9375,,,,,,,,489556.0,,,,12746370.8,,,,274836038.3363,,,,,,,,4000000.0
country/IND,2019,,537525805.6375862,,,1814310.0,,,,,,171711.0,,,,,,,,716883495.6233001,,,,,,,27732373.0,24000000.0
country/IND,2020,,417657421.0794918,,8000000.0,1555135.0,,,,,,194267.0,,,,4711367.0,,,,555156665.3132,,,,,,,10164768.0,
country/IND,2021,,511826638.14156586,322914.0,,3790112.0,,,,,,18489210.0,,,,,,33000000.0,,484961178.2628,46580638.5,,78528699.0,,,,62009214.0,302800000.0
country/IRQ,2015,,,,,,,,,,,,,,,,,,,360000000.0,,,,,,,,
country/IRQ,2016,,,,,,,,,,,,,,,,,,,321394316.46,,,,,,,,
country/IRQ,2018,,,,,,,,,,,,,,,,,,,2380062.5,,,,,,,,
country/IRQ,2019,,,,,,,,,,,,,,,,,,,5503213.0,,,,,,,,
country/IRQ,2020,,,,,,,,,,,,,,,,,,,11488852.2625,,,,,,,,
country/IRQ,2021,,,,,,,,,,,,,,,,,,,19745513.094499998,,,,,,,,
country/JAM,2017,,,,,,,,,,,,,,,,,,139200.0,10500000.0,,,,,,,,
country/JAM,2018,,,,,,,,,,,,,,,,,,1758634.5299999998,1500.0,,,,,,,,
country/JAM,2019,,,,,,,,,,,,,,,,,,,121219.32,,,,,,,,
country/JAM,2020,,,,,,,,,,,,,,,,,,190777.95,112849.36,,,,,,,,
