dcid,year,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,15491406.291305915,,,,,,,,70000000.0,,,,,,,,,74541470.0,478972477.68,,,,,,,,
Earth,2014,7738848.675259486,75209351.1858235,,,,,,,,,,,,,,,,261639525.49,302366532.57746613,,,,,,,,
Earth,2015,8247259.373533274,332967283.9722803,,,,,,,,,,,,,,,,528500000.0,1383533438.3576572,,,,,,,,
Earth,2016,59451602.722217165,707007134.7807037,,,,,,,,,,,988199890.3871566,,,,5493913.0,67514350.0,2347998833.044173,,,,,,,,
Earth,2017,16594563.6524334,893963262.5958302,26021584.38,,,,,,,,,,1103970083.9280043,,,,2651682.0,814702094.3019999,205412578.46,,,,,,,,
Earth,2018,471026005.4005467,1413794687.7059839,80885787.99430001,19132572.0,11930558.0,,4778952.4,,,1475274.0,21280420.0,5569310.766835561,724685504.7666042,,68266736.8,,,991979342.9627,3677631027.2056994,,,343505781.4,1125325.6,26155515.0,1482367.6,,28190144.0
Earth,2019,158481650.11747384,1700712093.549756,16432559.98,145805440.6,27703241.0,,,,,32016120.000000004,24587036.0,84164831.4809617,190845451.60679957,42311714.800000004,88264466.2,,,1266304094.8431,3875758004.6291347,,,67981284.2,2657970.4,25956655.0,4656424.0,113424232.2,78724167.0
Earth,2020,696698271.4726163,2032288356.561811,83620478.7,62856066.0,13646834.0,62678062.67806269,14986579.0,500000000.0,,12535612.4,17045072.0,18005370.898574978,378454676.2761982,25723869.8,152449470.0,34367111.6,,1399846923.1533,3627542330.4351187,175542314.4133347,79767075.0,61734074.8,,30515394.0,6606811.2,118755557.4,305342413.0
Earth,2021,423580823.5858002,1967998299.254919,165139406.6,,20248747.0,,,,,62086092.4,56254759.6,23425480.59724858,389039130.7926509,19715041.6,117991507.6,,33000000.0,880037290.0826,5542826229.863884,277116510.52054703,63543044.0,198160121.79999998,,23314010.0,3880214.2,405959759.4,404248040.0
country/AFG,2019,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/AGO,2018,883437.6437167187,,,,,,,,,,,,,,,,,,2513524.7986,,,,,,,,
country/AGO,2019,368469.9687160203,,,,20304.0,,,,,,,,,,,,,,76997288.57789999,,,,,,,,
country/AGO,2020,2942041.0910726916,,,,37430.0,,,,,,,,,,,,,,4801288.8217,,,,,,,7506.0,
country/AGO,2021,3120412.5350636654,,,,,,,,,,,,,,,,,,133089476.505,,,,,,,580474.0,
country/ALB,2015,,,,,,,,,,,,,,,,,,,4466613.61,,,,,,,,
country/ALB,2016,,,,,,,,,,,,,,,,,,,2651530.35,,,,,,,,
