input,dcid,link
BEL,country/BEL,https://datacommons.org/browser/country/BEL
SWE,country/SWE,https://datacommons.org/browser/country/SWE
ITA,country/ITA,https://datacommons.org/browser/country/ITA
NLD,country/NLD,https://datacommons.org/browser/country/NLD
OECD,country/OECD,https://datacommons.org/browser/country/OECD
FRA,country/FRA,https://datacommons.org/browser/country/FRA
ESP,country/ESP,https://datacommons.org/browser/country/ESP
EST,country/EST,https://datacommons.org/browser/country/EST
FIN,country/FIN,https://datacommons.org/browser/country/FIN
CHE,country/CHE,https://datacommons.org/browser/country/CHE
DEU,country/DEU,https://datacommons.org/browser/country/DEU
TUR,country/TUR,https://datacommons.org/browser/country/TUR
JPN,country/JPN,https://datacommons.org/browser/country/JPN
KOR,country/KOR,https://datacommons.org/browser/country/KOR
IRL,country/IRL,https://datacommons.org/browser/country/IRL
ISR,country/ISR,https://datacommons.org/browser/country/ISR
ISL,country/ISL,https://datacommons.org/browser/country/ISL
HUN,country/HUN,https://datacommons.org/browser/country/HUN
PRT,country/PRT,https://datacommons.org/browser/country/PRT
GRC,country/GRC,https://datacommons.org/browser/country/GRC
GBR,country/GBR,https://datacommons.org/browser/country/GBR
USA,country/USA,https://datacommons.org/browser/country/USA
LVA,country/LVA,https://datacommons.org/browser/country/LVA
LTU,country/LTU,https://datacommons.org/browser/country/LTU
AUS,country/AUS,https://datacommons.org/browser/country/AUS
DNK,country/DNK,https://datacommons.org/browser/country/DNK
LUX,country/LUX,https://datacommons.org/browser/country/LUX
NOR,country/NOR,https://datacommons.org/browser/country/NOR
SVN,country/SVN,https://datacommons.org/browser/country/SVN
AUT,country/AUT,https://datacommons.org/browser/country/AUT
MEX,country/MEX,https://datacommons.org/browser/country/MEX
CAN,country/CAN,https://datacommons.org/browser/country/CAN
CZE,country/CZE,https://datacommons.org/browser/country/CZE
POL,country/POL,https://datacommons.org/browser/country/POL
SVK,country/SVK,https://datacommons.org/browser/country/SVK
NZL,country/NZL,https://datacommons.org/browser/country/NZL
