input,dcid,link
Earth,Earth,https://datacommons.org/browser/Earth
country/AUT,country/AUT,https://datacommons.org/browser/country/AUT
country/CHE,country/CHE,https://datacommons.org/browser/country/CHE
country/DEU,country/DEU,https://datacommons.org/browser/country/DEU
country/DNK,country/DNK,https://datacommons.org/browser/country/DNK
country/ESP,country/ESP,https://datacommons.org/browser/country/ESP
country/FIN,country/FIN,https://datacommons.org/browser/country/FIN
country/FRA,country/FRA,https://datacommons.org/browser/country/FRA
country/GBR,country/GBR,https://datacommons.org/browser/country/GBR
country/JPN,country/JPN,https://datacommons.org/browser/country/JPN
country/NOR,country/NOR,https://datacommons.org/browser/country/NOR
