input,dcid,link
Earth,Earth,https://datacommons.org/browser/Earth
country/ARE,country/ARE,https://datacommons.org/browser/country/ARE
country/AUS,country/AUS,https://datacommons.org/browser/country/AUS
country/AUT,country/AUT,https://datacommons.org/browser/country/AUT
country/AZE,country/AZE,https://datacommons.org/browser/country/AZE
country/BEL,country/BEL,https://datacommons.org/browser/country/BEL
country/CAN,country/CAN,https://datacommons.org/browser/country/CAN
country/CHE,country/CHE,https://datacommons.org/browser/country/CHE
country/CZE,country/CZE,https://datacommons.org/browser/country/CZE
country/DEU,country/DEU,https://datacommons.org/browser/country/DEU
country/DNK,country/DNK,https://datacommons.org/browser/country/DNK
country/ESP,country/ESP,https://datacommons.org/browser/country/ESP
country/FIN,country/FIN,https://datacommons.org/browser/country/FIN
country/FRA,country/FRA,https://datacommons.org/browser/country/FRA
country/GBR,country/GBR,https://datacommons.org/browser/country/GBR
country/HUN,country/HUN,https://datacommons.org/browser/country/HUN
country/IRL,country/IRL,https://datacommons.org/browser/country/IRL
country/ISL,country/ISL,https://datacommons.org/browser/country/ISL
country/ITA,country/ITA,https://datacommons.org/browser/country/ITA
country/JPN,country/JPN,https://datacommons.org/browser/country/JPN
country/KOR,country/KOR,https://datacommons.org/browser/country/KOR
country/LIE,country/LIE,https://datacommons.org/browser/country/LIE
country/LTU,country/LTU,https://datacommons.org/browser/country/LTU
country/LUX,country/LUX,https://datacommons.org/browser/country/LUX
country/LVA,country/LVA,https://datacommons.org/browser/country/LVA
country/NLD,country/NLD,https://datacommons.org/browser/country/NLD
country/NOR,country/NOR,https://datacommons.org/browser/country/NOR
country/NZL,country/NZL,https://datacommons.org/browser/country/NZL
country/POL,country/POL,https://datacommons.org/browser/country/POL
country/PRT,country/PRT,https://datacommons.org/browser/country/PRT
country/ROU,country/ROU,https://datacommons.org/browser/country/ROU
country/SVK,country/SVK,https://datacommons.org/browser/country/SVK
country/SVN,country/SVN,https://datacommons.org/browser/country/SVN
country/SWE,country/SWE,https://datacommons.org/browser/country/SWE
country/USA,country/USA,https://datacommons.org/browser/country/USA
