input,dcid,link
Earth,Earth,https://datacommons.org/browser/Earth
country/AZE,country/AZE,https://datacommons.org/browser/country/AZE
country/BRA,country/BRA,https://datacommons.org/browser/country/BRA
country/CMR,country/CMR,https://datacommons.org/browser/country/CMR
country/CHL,country/CHL,https://datacommons.org/browser/country/CHL
country/CHN,country/CHN,https://datacommons.org/browser/country/CHN
country/COL,country/COL,https://datacommons.org/browser/country/COL
country/DOM,country/DOM,https://datacommons.org/browser/country/DOM
country/EGY,country/EGY,https://datacommons.org/browser/country/EGY
country/GEO,country/GEO,https://datacommons.org/browser/country/GEO
country/HTI,country/HTI,https://datacommons.org/browser/country/HTI
country/IND,country/IND,https://datacommons.org/browser/country/IND
country/IDN,country/IDN,https://datacommons.org/browser/country/IDN
country/KEN,country/KEN,https://datacommons.org/browser/country/KEN
country/LAO,country/LAO,https://datacommons.org/browser/country/LAO
country/MYS,country/MYS,https://datacommons.org/browser/country/MYS
country/MEX,country/MEX,https://datacommons.org/browser/country/MEX
country/MNG,country/MNG,https://datacommons.org/browser/country/MNG
country/NAM,country/NAM,https://datacommons.org/browser/country/NAM
country/NPL,country/NPL,https://datacommons.org/browser/country/NPL
country/NGA,country/NGA,https://datacommons.org/browser/country/NGA
country/PAK,country/PAK,https://datacommons.org/browser/country/PAK
country/PAN,country/PAN,https://datacommons.org/browser/country/PAN
country/PHL,country/PHL,https://datacommons.org/browser/country/PHL
country/SRB,country/SRB,https://datacommons.org/browser/country/SRB
country/ZAF,country/ZAF,https://datacommons.org/browser/country/ZAF
country/SSD,country/SSD,https://datacommons.org/browser/country/SSD
country/THA,country/THA,https://datacommons.org/browser/country/THA
country/UGA,country/UGA,https://datacommons.org/browser/country/UGA
