DCID,isPerCapitaValid,isPositiveIndicator,perCapitaDenominator
AirPollutant_Cancer_Risk,n,n,
AirQualityIndex_AirPollutant,n,,
AmountFarmInventory_WinterWheatForGrain,,,
Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,n,n,
Amount_Consumption_Electricity_PerCapita,n,,
Amount_Consumption_Energy_PerCapita,n,,
Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,n,,
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,n,,
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,n,,
Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,n,,
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,,,
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,n,,
Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,n,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,,,
Amount_EconomicActivity_GrossDomesticProduction_Nominal,,,
Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,n,,
Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,n,,
Amount_EconomicActivity_GrossDomesticProduction_RealValue,,,
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,,,
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,n,,
Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,,,
