sentence,dcid
"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",dc/topic/sdg_11.5.3
(a) Food loss index and (b) food waste index,dc/topic/sdg_12.3.1
(a) Hazardous waste generated per capita,dc/topic/sdg_12.4.2
(a) Index of coastal eutrophication,dc/topic/sdg_14.1.1
(a) Number of commercial bank branches per 100K adults and (b) number of automated teller machines (ATMs) per 100K adults,dc/topic/sdg_8.10.1
(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,dc/topic/sdg_15.9.1
(a) Official development assistance on conservation and sustainable use of biodiversity,dc/topic/sdg_15.a.1;dc/topic/sdg_15.b.1
"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",dc/topic/sdg_5.a.1
(b) at the end of primary,dc/topic/sdg_4.1.1
(b) curricula,dc/topic/sdg_12.8.1;dc/topic/sdg_13.3.1;dc/topic/sdg_4.7.1
(b) ensure balanced territorial development,dc/topic/sdg_11.a.1
(b) the public service,dc/topic/sdg_16.7.1
(c) teacher education,dc/topic/sdg_12.8.1;dc/topic/sdg_13.3.1;dc/topic/sdg_4.7.1
10 pm pollutant,dc/topic/PM10
2.5 pm pollutant,dc/topic/PM2.5
2G network,dc/topic/sdg_9.c.1
3G network,dc/topic/sdg_9.c.1
4G network,dc/topic/sdg_9.c.1
AQI,dc/topic/AirQualityIndex
Above-ground biomass in forest,sdg/AG_LND_FRSTBIOPHA
Access To Electricity,dc/topic/GlobalElectricityAccess
"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors",dc/topic/sdg_8.2
"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all",dc/topic/sdg_3.8
Additional financial resources mobilized for developing countries from multiple sources,dc/topic/sdg_17.3.1
Adolescent (15 to 19 years old) birth rate,sdg/SP_DYN_ADKL.AGE--Y15T19__SEX--F
Adolescent Birth Rate,dc/topic/AdolescentBirthRate
"Adolescent birth rate (aged 10-19 years) per 1,000 women in that age group",dc/topic/sdg_3.7.2
Adopt and implement investment promotion regimes for least developed countries,dc/topic/sdg_17.5
Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels,dc/topic/sdg_5.c
"Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility",dc/topic/sdg_2.c
"Adopt policies, especially fiscal, wage and social protection policies, and progressively achieve greater equality",dc/topic/sdg_10.4
Adult Correctional Facilities Residents,dc/topic/AdultCorrectionalFacilitiesResidents
Age,dc/topic/Age
Age Medians,dc/topic/AgeMedians
Age adjusted deaths,Count_Death_AgeAdjusted_AsAFractionOf_Count_Person
Age adjusted female deaths,Count_Death_Female_AgeAdjusted_AsAFractionOf_Count_Person_Female
Age adjusted male deaths,Count_Death_Male_AgeAdjusted_AsAFractionOf_Count_Person_Male
Age based demographic breakdown,dc/topic/AgeDistribution
Age-Standardized Deaths due to Alcoholic Liver Disease,WHO/SA_0000001456
Age-Standardized Deaths from Poisoning,WHO/SA_0000001458
Age-Standardized Deaths from Road Traffic Accidents,WHO/SA_0000001452
Age-Standardized Deaths from Self-Inflicted Injury,WHO/SA_0000001453
Age-Standardized Deaths from Violence,WHO/SA_0000001455
Age-standardized prevalence of current tobacco use among persons aged 15 years and older,dc/topic/sdg_3.a.1
Agricultural Output,dc/topic/AgriculturalProduction
Agricultural Production,dc/topic/AgriculturalProduction
Agriculture,dc/topic/Agriculture
Agriculture commodity price index (nominal),Nominal_Index_Commodity_Agriculture
Agriculture data,dc/topic/Agriculture
Agriculture statistics,dc/topic/Agriculture
Aid for Trade commitments and disbursements,dc/topic/sdg_8.a.1
Air Quality Index,dc/topic/AirQualityIndex
Air Quality Index of Carbon Monoxide,AirQualityIndex_AirPollutant_CO
Air Quality Index of Nitrogen Dioxide,AirQualityIndex_AirPollutant_NO2
Air Quality Index of Ozone,AirQualityIndex_AirPollutant_Ozone
Air Quality Index of PM10,AirQualityIndex_AirPollutant_PM10
Air Quality Index of PM2.5,AirQualityIndex_AirPollutant_PM2.5
Air Quality Index of Sulfur Dioxide,AirQualityIndex_AirPollutant_SO2
Air quality index,AirQualityIndex_AirPollutant
Alcohol Industry,dc/topic/AlcoholIndustry
Alcohol Use Disorder Deaths,WHO/SA_0000001437
Alcohol consumed per capita,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears
