Query,SV,Place,Exception,EmptyResult,WrongPlace,ChartSVRank,EmbeddingsSVRank
the risk of cancer from air pollutants in george county,AirPollutant_Cancer_Risk,geoId/28039,,,,0,0
the danger of air pollutants to your health in george county,AirPollutant_Cancer_Risk,geoId/28039,,,,2,2
the possibility of getting cancer from air pollutants in george county,AirPollutant_Cancer_Risk,geoId/28039,,,,0,0
air quality index in pierce county,AirQualityIndex_AirPollutant,geoId/53053,,,,0,0
air quality rating in pierce county,AirQualityIndex_AirPollutant,geoId/53053,,,,0,0
air quality measure in pierce county,AirQualityIndex_AirPollutant,geoId/53053,,,,0,0
winter wheat grown for grain in north carolina,AmountFarmInventory_WinterWheatForGrain,geoId/37,,,,0,0
grain grown from winter wheat in north carolina,AmountFarmInventory_WinterWheatForGrain,geoId/37,,,,0,0
wheat grown for grain in the winter in north carolina,AmountFarmInventory_WinterWheatForGrain,geoId/37,,,,0,0
what percentage of people aged 15 years or older in the united states consume alcohol? in brazil,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,country/BRA,,,*,0,0
what is the percentage of people aged 15 years or older in the united states who consume alcohol? in brazil,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,country/BRA,,,*,0,0
what proportion of people aged 15 years or older in the united states consume alcohol? in brazil,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,country/BRA,,,*,0,0
how much electricity does the average person use in the united states? in canada,Amount_Consumption_Electricity_PerCapita,country/CAN,,,*,0,0
what is the average electricity consumption per person in the united states? in canada,Amount_Consumption_Electricity_PerCapita,country/CAN,,,*,0,0
what is the per capita electricity consumption in the united states? in canada,Amount_Consumption_Electricity_PerCapita,country/CAN,,,*,0,0
per capita energy use in cambodia,Amount_Consumption_Energy_PerCapita,country/KHM,,,,0,0
energy use per person in cambodia,Amount_Consumption_Energy_PerCapita,country/KHM,,,,0,0
energy consumption per capita in cambodia,Amount_Consumption_Energy_PerCapita,country/KHM,,,,0,0
the amount of renewable energy consumed each year in iceland,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,country/ISL,,,,0,0
the yearly consumption of renewable energy in iceland,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,country/ISL,,,,0,0
the annual use of renewable energy in iceland,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,country/ISL,,,,0,0
the percentage of government spending on education in comoros,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,country/COM,,,,0,0
the proportion of government expenditure on education in comoros,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,country/COM,,,,0,0
the amount of government money spent on education as a percentage of total government spending in comoros,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,country/COM,,,,0,0
the percentage of the united states' gdp that is spent on education in spain,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/ESP,,,*,0,0
the amount of money that the united states spends on education as a percentage of its gdp in spain,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/ESP,,,*,0,0
the percentage of the united states' economy that is devoted to education in spain,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,country/ESP,,,*,0,0
how much money does the average person in the united states spend on healthcare? in eswatini,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,country/SWZ,,,*,0,0
what is the average healthcare expenditure per person in the united states? in eswatini,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,country/SWZ,,,*,0,0
what is the average amount of money that a person in the united states spends on healthcare? in eswatini,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,country/SWZ,,,*,0,0
the amount of money that the government spends on the military in malaysia,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,country/MYS,,,,0,0
the cost of the military to the government in malaysia,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,country/MYS,,,,0,0
the budget for the military in malaysia,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,country/MYS,,,,0,0
